5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.00V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-7.50V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.00V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-8.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.25V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.50V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-9.75V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.00V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-10.50V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.00V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-11.50V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.17V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.38V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.62V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.88V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.70V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-9.57V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.00V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A	5-DämpfExz-12.50V-0.2A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000			0,050	-0,005			-1,1250E-4			0,050	-0,005			-1,1250E-4			0,050	0,000			0,0000			0,050	0,022			5,2500E-4			0,050	0,008			1,8750E-4			0,050	0,093			0,0022			0,050	0,025			6,0000E-4			0,050	0,009			2,2500E-4			0,050	0,013			3,0000E-4			0,050	-0,006			-1,5000E-4			0,050	-0,003			-7,5000E-5			0,050	0,014			3,3750E-4			0,050	-0,027			-6,3750E-4			0,050	0,030			7,1250E-4			0,050	-0,002			-3,7500E-5			0,050	0,024			5,6250E-4			0,050	-0,102			-0,0024			0,050	-0,008			-1,8750E-4			0,050	0,005			1,1250E-4		
0,100	-0,013	-0,031		-3,0000E-4	-7,500E-4		0,100	-0,199	-3,958		-0,0048	-0,094		0,100	-0,127	-1,932		-0,0030	-0,046		0,100	0,050	1,838		0,0012	0,044		0,100	1,164	22,478		0,0278	0,537		0,100	0,482	12,849		0,0115	0,307		0,100	2,736	54,208		0,0653	1,294		0,100	1,067	19,682		0,0255	0,470		0,100	0,664	12,519		0,0159	0,299		0,100	0,430	8,042		0,0103	0,192		0,100	-0,170	-2,513		-0,0040	-0,060		0,100	-0,080	-0,880		-0,0019	-0,021		0,100	0,790	12,048		0,0189	0,288		0,100	-1,131	-26,625		-0,0270	-0,636		0,100	1,123	15,834		0,0268	0,378		0,100	-0,226	-5,985		-0,0054	-0,143		0,100	1,056	20,907		0,0252	0,499		0,100	-3,065	-57,098		-0,0732	-1,363		0,100	-0,204	-3,770		-0,0049	-0,090		0,100	0,171	3,126		0,0041	0,075	
0,150	-0,003	0,393	7,854	-7,5000E-5	0,009	0,188	0,150	-0,401	-4,021	-1,776E-14	-0,0096	-0,096	-2,776E-16	0,150	-0,198	-0,864	21,363	-0,0047	-0,021	0,510	0,150	0,184	3,456	31,259	0,0044	0,083	0,746	0,150	2,270	21,269	-33,301	0,0542	0,508	-0,795	0,150	1,293	19,242	120,480	0,0309	0,459	2,876	0,150	5,513	55,716	6,126	0,1316	1,330	0,146	0,150	1,993	16,917	-64,089	0,0476	0,404	-1,530	0,150	1,261	11,027	-35,657	0,0301	0,263	-0,851	0,150	0,817	7,147	-22,305	0,0195	0,171	-0,532	0,150	-0,258	-0,958	30,788	-0,0062	-0,023	0,735	0,150	-0,091	0,408	24,504	-0,0022	0,010	0,585	0,150	1,219	4,948	-143,728	0,0291	0,118	-3,431	0,150	-2,689	-34,935	-149,697	-0,0642	-0,834	-3,574	0,150	1,613	3,566	-246,929	0,0385	0,085	-5,895	0,150	-0,600	-8,812	-52,622	-0,0143	-0,210	-1,256	0,150	2,114	20,939	-9,268	0,0505	0,500	-0,221	0,150	-5,812	-51,789	127,078	-0,1387	-1,236	3,034	0,150	-0,385	-3,283	12,566	-0,0092	-0,078	0,300	0,150	0,317	2,560	-13,823	0,0076	0,061	-0,330
0,200	0,027	0,754	6,754	6,3750E-4	0,018	0,161	0,200	-0,602	-3,958	2,513	-0,0144	-0,094	0,060	0,200	-0,214	0,204	20,420	-0,0051	0,005	0,488	0,200	0,396	4,964	28,589	0,0095	0,119	0,682	0,200	3,291	19,148	-50,423	0,0786	0,457	-1,204	0,200	2,406	24,897	103,516	0,0575	0,594	2,471	0,200	8,308	54,821	-43,197	0,1983	1,309	-1,031	0,200	2,758	13,273	-79,954	0,0658	0,317	-1,909	0,200	1,767	8,954	-46,339	0,0422	0,214	-1,106	0,200	1,145	5,812	-30,002	0,0273	0,139	-0,716	0,200	-0,265	0,565	29,060	-0,0063	0,014	0,694	0,200	-0,039	1,571	21,991	-9,3750E-4	0,038	0,525	0,200	1,285	-2,325	-144,042	0,0307	-0,056	-3,439	0,200	-4,624	-41,595	-114,354	-0,1104	-0,993	-2,730	0,200	1,480	-8,859	-244,259	0,0353	-0,212	-5,831	0,200	-1,107	-11,247	-43,354	-0,0264	-0,269	-1,035	0,200	3,149	19,981	-29,060	0,0752	0,477	-0,694	0,200	-8,244	-44,391	166,662	-0,1968	-1,060	3,979	0,200	-0,533	-2,513	17,593	-0,0127	-0,060	0,420	0,200	0,427	1,744	-17,593	0,0102	0,042	-0,420
0,250	0,072	1,068	6,597	0,0017	0,026	0,157	0,250	-0,796	-3,770	5,184	-0,0190	-0,090	0,124	0,250	-0,178	1,178	18,535	-0,0042	0,028	0,442	0,250	0,680	6,315	24,819	0,0162	0,151	0,592	0,250	4,185	16,226	-65,345	0,0999	0,387	-1,560	0,250	3,782	29,594	81,996	0,0903	0,706	1,957	0,250	10,996	51,396	-92,363	0,2625	1,227	-2,205	0,250	3,321	8,922	-91,577	0,0793	0,213	-2,186	0,250	2,157	6,393	-54,978	0,0515	0,153	-1,313	0,250	1,398	4,147	-36,128	0,0334	0,099	-0,863	0,250	-0,201	1,948	26,704	-0,0048	0,046	0,637	0,250	0,066	2,608	19,478	0,0016	0,062	0,465	0,250	0,986	-9,456	-137,916	0,0236	-0,226	-3,292	0,250	-6,849	-46,370	-73,356	-0,1635	-1,107	-1,751	0,250	0,727	-20,860	-230,279	0,0174	-0,498	-5,497	0,250	-1,725	-13,148	-31,416	-0,0412	-0,314	-0,750	0,250	4,112	18,033	-48,223	0,0982	0,430	-1,151	0,250	-10,251	-35,123	199,177	-0,2447	-0,838	4,755	0,250	-0,636	-1,524	21,049	-0,0152	-0,036	0,503	0,250	0,492	0,801	-19,478	0,0117	0,019	-0,465
0,300	0,134	1,414	7,069	0,0032	0,034	0,169	0,300	-0,979	-3,440	7,854	-0,0234	-0,082	0,187	0,300	-0,096	2,058	17,122	-0,0023	0,049	0,409	0,300	1,027	7,446	19,949	0,0245	0,178	0,476	0,300	4,913	12,614	-78,226	0,1173	0,301	-1,867	0,300	5,366	33,097	56,549	0,1281	0,790	1,350	0,300	13,448	45,585	-137,759	0,3210	1,088	-3,289	0,300	3,651	4,115	-98,332	0,0871	0,098	-2,347	0,300	2,406	3,456	-60,162	0,0575	0,082	-1,436	0,300	1,560	2,199	-40,055	0,0372	0,052	-0,956	0,300	-0,071	3,236	24,033	-0,0017	0,077	0,574	0,300	0,221	3,519	16,022	0,0053	0,084	0,383	0,300	0,339	-16,116	-125,821	0,0081	-0,385	-3,004	0,300	-9,261	-48,930	-29,060	-0,2211	-1,168	-0,694	0,300	-0,606	-31,887	-205,303	-0,0145	-0,761	-4,901	0,300	-2,422	-14,389	-17,750	-0,0578	-0,343	-0,424	0,300	4,953	15,158	-65,345	0,1182	0,362	-1,560	0,300	-11,756	-24,473	222,739	-0,2806	-0,584	5,317	0,300	-0,685	-0,408	21,991	-0,0164	-0,010	0,525	0,300	0,507	-0,204	-19,478	0,0121	-0,005	-0,465
0,350	0,214	1,775	6,754	0,0051	0,042	0,161	0,350	-1,140	-2,985	10,210	-0,0272	-0,071	0,244	0,350	0,028	2,890	16,179	6,7500E-4	0,069	0,386	0,350	1,425	8,310	14,294	0,0340	0,198	0,341	0,350	5,446	8,404	-88,122	0,1300	0,201	-2,104	0,350	7,092	35,249	28,589	0,1693	0,842	0,683	0,350	15,554	37,621	-177,971	0,3713	0,898	-4,249	0,350	3,732	-0,911	-99,903	0,0891	-0,022	-2,385	0,350	2,502	0,377	-61,418	0,0597	0,009	-1,466	0,350	1,618	0,141	-40,527	0,0386	0,003	-0,968	0,350	0,123	4,351	19,792	0,0029	0,104	0,473	0,350	0,418	4,210	10,996	0,0100	0,101	0,263	0,350	-0,625	-22,038	-108,542	-0,0149	-0,526	-2,591	0,350	-11,742	-49,276	13,509	-0,2803	-1,176	0,322	0,350	-2,461	-41,391	-169,960	-0,0588	-0,988	-4,058	0,350	-3,164	-14,923	-3,142	-0,0755	-0,356	-0,075	0,350	5,628	11,498	-79,325	0,1344	0,275	-1,894	0,350	-12,698	-12,849	237,033	-0,3031	-0,307	5,659	0,350	-0,677	0,675	20,735	-0,0162	0,016	0,495	0,350	0,471	-1,147	-17,907	0,0112	-0,027	-0,428
0,400	0,311	2,089	5,969	0,0074	0,050	0,143	0,400	-1,277	-2,419	12,252	-0,0305	-0,058	0,292	0,400	0,193	3,676	14,608	0,0046	0,088	0,349	0,400	1,858	8,875	8,325	0,0444	0,212	0,199	0,400	5,754	3,801	-93,462	0,1374	0,091	-2,231	0,400	8,891	35,956	-0,471	0,2122	0,858	-0,011	0,400	17,210	27,787	-209,544	0,4108	0,663	-5,002	0,400	3,559	-5,875	-95,819	0,0850	-0,140	-2,288	0,400	2,444	-2,686	-59,690	0,0583	-0,064	-1,425	0,400	1,574	-1,854	-38,642	0,0376	-0,044	-0,923	0,400	0,364	5,215	14,294	0,0087	0,125	0,341	0,400	0,642	4,618	5,184	0,0153	0,110	0,124	0,400	-1,865	-26,971	-86,394	-0,0445	-0,644	-2,063	0,400	-14,189	-47,579	54,507	-0,3387	-1,136	1,301	0,400	-4,745	-48,883	-127,392	-0,1133	-1,167	-3,041	0,400	-3,914	-14,703	12,095	-0,0934	-0,351	0,289	0,400	6,103	7,226	-88,907	0,1457	0,172	-2,123	0,400	-13,041	-0,770	241,589	-0,3113	-0,018	5,767	0,400	-0,617	1,665	18,535	-0,0147	0,040	0,443	0,400	0,393	-1,995	-15,708	0,0094	-0,048	-0,375
0,450	0,423	2,372	5,341	0,0101	0,057	0,127	0,450	-1,382	-1,759	13,823	-0,0330	-0,042	0,330	0,450	0,396	4,351	12,409	0,0095	0,104	0,296	0,450	2,312	9,142	2,042	0,0552	0,218	0,049	0,450	5,826	-0,942	-94,091	0,1391	-0,023	-2,246	0,450	10,688	35,202	-30,473	0,2551	0,840	-0,728	0,450	18,333	16,666	-229,965	0,4377	0,398	-5,490	0,450	3,145	-10,493	-87,179	0,0751	-0,251	-2,081	0,450	2,234	-5,592	-55,135	0,0533	-0,134	-1,316	0,450	1,433	-3,723	-35,500	0,0342	-0,089	-0,847	0,450	0,644	5,781	7,854	0,0154	0,138	0,187	0,450	0,880	4,728	-0,942	0,0210	0,113	-0,023	0,450	-3,322	-30,678	-59,847	-0,0793	-0,732	-1,429	0,450	-16,500	-43,825	92,834	-0,3939	-1,046	2,216	0,450	-7,350	-54,130	-78,854	-0,1755	-1,292	-1,882	0,450	-4,634	-13,713	26,546	-0,1106	-0,327	0,634	0,450	6,351	2,608	-93,305	0,1516	0,062	-2,227	0,450	-12,775	11,310	236,876	-0,3050	0,270	5,655	0,450	-0,511	2,529	15,708	-0,0122	0,060	0,375	0,450	0,272	-2,717	-12,252	0,0065	-0,065	-0,292
