2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	-0,077			-0,0018		
0,100	-2,763	-50,721		-0,0660	-1,211	
0,150	-5,149	-43,857	155,352	-0,1229	-1,047	3,709
0,200	-7,149	-35,186	188,339	-0,1707	-0,840	4,496
0,250	-8,668	-25,023	212,529	-0,2069	-0,597	5,074
0,300	-9,651	-13,933	226,352	-0,2304	-0,333	5,404
0,350	-10,061	-2,388	231,221	-0,2402	-0,057	5,520
0,400	-9,890	9,189	227,451	-0,2361	0,219	5,430
0,450	-9,142	20,358	214,728	-0,2182	0,486	5,126
0,500	-7,854	30,662	193,836	-0,1875	0,732	4,627
0,550	-6,076	39,741	165,248	-0,1451	0,949	3,945
0,600	-3,880	47,187	130,062	-0,0926	1,126	3,105
0,650	-1,357	52,747	88,593	-0,0324	1,259	2,115
0,700	1,395	56,046	41,783	0,0333	1,338	0,997
0,750	4,247	56,926	-7,226	0,1014	1,359	-0,173
0,800	7,087	55,323	-58,591	0,1692	1,321	-1,399
0,850	9,780	51,067	-109,328	0,2335	1,219	-2,610
0,900	12,194	44,391	-154,252	0,2911	1,060	-3,682
0,950	14,219	35,641	-191,951	0,3394	0,851	-4,583
1,000	15,758	25,196	-220,069	0,3762	0,601	-5,254
1,050	16,738	13,635	-236,876	0,3996	0,325	-5,655
1,100	17,122	1,508	-242,688	0,4087	0,036	-5,794
1,150	16,889	-10,634	-237,033	0,4032	-0,254	-5,659
1,200	16,058	-22,195	-220,540	0,3834	-0,530	-5,265
1,250	14,670	-32,688	-194,308	0,3502	-0,780	-4,639
1,300	12,789	-41,626	-158,965	0,3053	-0,994	-3,795
1,350	10,507	-48,585	-116,553	0,2508	-1,160	-2,782
1,400	7,931	-53,281	-68,330	0,1893	-1,272	-1,631
1,450	5,179	-55,418	-17,593	0,1236	-1,323	-0,420
1,500	2,389	-55,041	31,416	0,0570	-1,314	0,750
1,550	-0,325	-52,276	77,912	-0,0078	-1,248	1,860
