3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	-0,061			-0,0015			0,050	-0,049			-0,0012			0,050	0,017			4,1250E-4		
0,100	-2,647	-51,192		-0,0632	-1,222		0,100	-1,819	-33,521		-0,0434	-0,800		0,100	0,880	11,467		0,0210	0,274	
0,150	-5,180	-49,025	64,874	-0,1237	-1,170	1,549	0,150	-3,401	-29,123	99,589	-0,0812	-0,695	2,377	0,150	1,164	-0,094	-229,022	0,0278	-0,002	-5,467
0,200	-7,549	-44,705	104,615	-0,1802	-1,067	2,497	0,200	-4,731	-23,562	119,695	-0,1129	-0,563	2,858	0,200	0,870	-11,435	-220,226	0,0208	-0,273	-5,257
0,250	-9,651	-38,563	137,759	-0,2304	-0,921	3,289	0,250	-5,757	-17,153	133,361	-0,1374	-0,409	3,184	0,250	0,020	-22,117	-202,633	4,8750E-4	-0,528	-4,837
0,300	-11,406	-30,929	164,934	-0,2723	-0,738	3,938	0,300	-6,447	-10,226	140,743	-0,1539	-0,244	3,360	0,300	-1,341	-31,699	-175,615	-0,0320	-0,757	-4,192
0,350	-12,744	-22,070	185,668	-0,3042	-0,527	4,432	0,350	-6,780	-3,079	141,686	-0,1618	-0,074	3,382	0,350	-3,149	-39,678	-139,644	-0,0752	-0,947	-3,334
0,400	-13,613	-12,362	197,763	-0,3250	-0,295	4,721	0,400	-6,754	3,943	136,659	-0,1612	0,094	3,263	0,400	-5,309	-45,663	-97,861	-0,1267	-1,090	-2,336
0,450	-13,980	-2,293	201,219	-0,3338	-0,055	4,804	0,450	-6,385	10,587	126,292	-0,1524	0,253	3,015	0,450	-7,716	-49,464	-51,836	-0,1842	-1,181	-1,238
0,500	-13,842	7,760	197,292	-0,3304	0,185	4,710	0,500	-5,696	16,572	111,370	-0,1360	0,396	2,659	0,500	-10,256	-50,847	-4,712	-0,2448	-1,214	-0,112
0,550	-13,204	17,436	185,668	-0,3152	0,416	4,432	0,550	-4,728	21,724	93,620	-0,1129	0,519	2,235	0,550	-12,800	-49,936	39,427	-0,3056	-1,192	0,941
0,600	-12,098	26,327	166,347	-0,2888	0,628	3,971	0,600	-3,523	25,934	72,728	-0,0841	0,619	1,736	0,600	-15,249	-46,904	80,896	-0,3641	-1,120	1,931
0,650	-10,571	34,071	140,272	-0,2524	0,813	3,349	0,650	-2,135	28,997	47,752	-0,0510	0,692	1,140	0,650	-17,491	-41,846	117,339	-0,4176	-0,999	2,801
0,700	-8,691	40,354	109,485	-0,2075	0,963	2,614	0,700	-0,624	30,709	20,106	-0,0149	0,733	0,480	0,700	-19,434	-35,170	146,398	-0,4639	-0,840	3,495
0,750	-6,536	45,019	74,142	-0,1560	1,075	1,770	0,750	0,936	31,008	-7,697	0,0223	0,740	-0,184	0,750	-21,008	-27,206	169,960	-0,5015	-0,650	4,057
0,800	-4,189	47,768	33,772	-0,1000	1,140	0,806	0,800	2,477	29,939	-33,929	0,0591	0,715	-0,810	0,800	-22,155	-18,174	187,082	-0,5289	-0,434	4,466
0,850	-1,759	48,396	-8,482	-0,0420	1,155	-0,203	0,850	3,930	27,615	-58,434	0,0938	0,659	-1,395	0,850	-22,825	-8,498	195,093	-0,5449	-0,203	4,657
0,900	0,650	46,920	-51,208	0,0155	1,120	-1,222	0,900	5,239	24,096	-81,210	0,1251	0,575	-1,939	0,900	-23,004	1,335	194,465	-0,5492	0,032	4,643
0,950	2,933	43,275	-93,148	0,0700	1,033	-2,224	0,950	6,340	19,494	-99,903	0,1513	0,465	-2,385	0,950	-22,692	10,948	186,925	-0,5417	0,261	4,463
1,000	4,978	37,605	-130,847	0,1188	0,898	-3,124	1,000	7,188	14,106	-113,254	0,1716	0,337	-2,704	1,000	-21,909	20,028	172,474	-0,5230	0,478	4,117
1,050	6,693	30,191	-162,578	0,1598	0,721	-3,881	1,050	7,750	8,168	-120,951	0,1850	0,195	-2,887	1,050	-20,689	28,196	150,639	-0,4939	0,673	3,596
1,100	7,997	21,347	-186,454	0,1909	0,510	-4,451	1,100	8,005	2,011	-121,580	0,1911	0,048	-2,902	1,100	-19,090	35,092	123,308	-0,4557	0,838	2,944
1,150	8,828	11,545	-200,434	0,2107	0,276	-4,785	1,150	7,951	-3,990	-115,925	0,1898	-0,095	-2,767	1,150	-17,180	40,527	91,892	-0,4101	0,967	2,194
1,200	9,151	1,304	-204,361	0,2185	0,031	-4,879	1,200	7,606	-9,582	-106,029	0,1816	-0,229	-2,531	1,200	-15,037	44,281	55,449	-0,3590	1,057	1,324
1,250	8,958	-8,891	-199,020	0,2139	-0,212	-4,751	1,250	6,993	-14,593	-92,049	0,1669	-0,348	-2,198	1,250	-12,752	46,071	15,551	-0,3044	1,100	0,371
1,300	8,262	-18,598	-184,412	0,1972	-0,444	-4,402	1,300	6,147	-18,787	-74,142	0,1467	-0,449	-1,770	1,300	-10,430	45,836	-24,662	-0,2490	1,094	-0,589
1,350	7,098	-27,332	-160,536	0,1695	-0,652	-3,832	1,350	5,115	-22,007	-53,250	0,1221	-0,525	-1,271	1,350	-8,168	43,605	-65,031	-0,1950	1,041	-1,552
1,400	5,529	-34,652	-129,591	0,1320	-0,827	-3,094	1,400	3,946	-24,112	-30,002	0,0942	-0,576	-0,716	1,400	-6,070	39,333	-104,144	-0,1449	0,939	-2,486
1,450	3,633	-40,291	-93,934	0,0867	-0,962	-2,243	1,450	2,703	-25,007	-6,754	0,0645	-0,597	-0,161	1,450	-4,235	33,191	-138,230	-0,1011	0,792	-3,300
1,500	1,500	-44,045	-53,878	0,0358	-1,052	-1,286	1,500	1,445	-24,787	14,923	0,0345	-0,592	0,356	1,500	-2,750	25,510	-165,091	-0,0657	0,609	-3,941
1,550	-0,771	-45,679	-12,252	-0,0184	-1,090	-0,292	1,550	0,225	-23,515	35,186	0,0054	-0,561	0,840	1,550	-1,684	16,682	-182,998	-0,0402	0,398	-4,369
1,600	-3,068	-45,270	27,332	-0,0732	-1,081	0,652	1,600	-0,906	-21,269	53,250	-0,0216	-0,508	1,271	1,600	-1,082	7,210	-191,166	-0,0258	0,172	-4,564
1,650	-5,298	-42,946	65,659	-0,1265	-1,025	1,567	1,650	-1,902	-18,190	68,644	-0,0454	-0,434	1,639	1,650	-0,963	-2,435	-190,538	-0,0230	-0,058	-4,549
1,700	-7,362	-38,704	100,845	-0,1758	-0,924	2,407	1,700	-2,725	-14,404	81,053	-0,0651	-0,344	1,935	1,700	-1,326	-11,844	-181,270	-0,0316	-0,283	-4,328
1,750	-9,169	-32,861	129,434	-0,2189	-0,785	3,090	1,750	-3,343	-10,085	89,378	-0,0798	-0,241	2,134	1,750	-2,147	-20,562	-163,206	-0,0513	-0,491	-3,896
1,800	-10,648	-25,761	152,210	-0,2542	-0,615	3,634	1,800	-3,734	-5,466	93,148	-0,0891	-0,131	2,224	1,800	-3,382	-28,164	-137,759	-0,0807	-0,672	-3,289
1,850	-11,745	-17,640	169,332	-0,2804	-0,421	4,042	1,850	-3,889	-0,770	92,363	-0,0929	-0,018	2,205	1,850	-4,964	-34,338	-106,814	-0,1185	-0,820	-2,550
1,900	-12,412	-8,828	178,600	-0,2963	-0,211	4,264	1,900	-3,811	3,770	87,965	-0,0910	0,090	2,100	1,900	-6,816	-38,846	-71,000	-0,1627	-0,927	-1,695
1,950	-12,628	0,220	179,699	-0,3015	0,005	4,290	1,950	-3,512	8,027	80,739	-0,0839	0,192	1,928	1,950	-8,848	-41,438	-31,573	-0,2112	-0,989	-0,754
2,000	-12,390	9,142	174,201	-0,2958	0,218	4,159	2,000	-3,008	11,844	70,529	-0,0718	0,283	1,684	2,000	-10,959	-42,003	6,597	-0,2616	-1,003	0,158
2,050	-11,713	17,640	161,949	-0,2796	0,421	3,866	2,050	-2,328	15,080	57,805	-0,0556	0,360	1,380	2,050	-13,049	-40,778	41,626	-0,3115	-0,973	0,994
2,100	-10,626	25,337	142,628	-0,2537	0,605	3,405	2,100	-1,500	17,624	42,569	-0,0358	0,421	1,016	2,100	-15,037	-37,841	75,241	-0,3590	-0,903	1,796
2,150	-9,180	31,903	118,438	-0,2192	0,762	2,827	2,150	-0,565	19,337	25,133	-0,0135	0,462	0,600	2,150	-16,833	-33,254	104,772	-0,4018	-0,794	2,501
2,200	-7,436	37,181	90,007	-0,1775	0,888	2,149	2,200	0,434	20,138	6,754	0,0103	0,481	0,161	2,200	-18,363	-27,363	128,177	-0,4384	-0,653	3,060
2,250	-5,462	40,904	56,077	-0,1304	0,976	1,339	2,250	1,448	20,012	-11,310	0,0346	0,478	-0,270	2,250	-19,569	-20,436	146,241	-0,4672	-0,488	3,491
2,300	-3,346	42,789	19,164	-0,0799	1,021	0,458	2,300	2,435	19,007	-28,274	0,0581	0,454	-0,675	2,300	-20,406	-12,739	158,179	-0,4872	-0,304	3,776
2,350	-1,183	42,820	-18,064	-0,0282	1,022	-0,431	2,350	3,349	17,185	-43,511	0,0799	0,410	-1,039	2,350	-20,843	-4,618	163,049	-0,4976	-0,110	3,892
2,400	0,936	40,982	-55,606	0,0223	0,978	-1,328	2,400	4,153	14,656	-56,392	0,0991	0,350	-1,346	2,400	-20,868	3,566	160,693	-0,4982	0,085	3,836
2,450	2,915	37,259	-91,892	0,0696	0,889	-2,194	2,450	4,814	11,545	-66,916	0,1149	0,276	-1,598	2,450	-20,486	11,451	151,582	-0,4891	0,273	3,619
2,500	4,662	31,793	-124,407	0,1113	0,759	-2,970	2,500	5,308	7,964	-74,613	0,1267	0,190	-1,781	2,500	-19,723	18,724	137,131	-0,4708	0,447	3,274
2,550	6,095	24,819	-151,268	0,1455	0,592	-3,611	2,550	5,611	4,084	-78,069	0,1339	0,098	-1,864	2,550	-18,614	25,164	117,967	-0,4444	0,601	2,816
2,600	7,144	16,666	-170,274	0,1705	0,398	-4,065	2,600	5,716	0,157	-76,969	0,1365	0,004	-1,837	2,600	-17,207	30,521	94,248	-0,4108	0,729	2,250
2,650	7,761	7,791	-180,485	0,1853	0,186	-4,309	2,650	5,627	-3,613	-72,257	0,1343	-0,086	-1,725	2,650	-15,562	34,589	66,131	-0,3715	0,826	1,579
2,700	7,923	-1,382	-181,741	0,1891	-0,033	-4,339	2,700	5,355	-7,069	-64,717	0,1278	-0,169	-1,545	2,700	-13,748	37,134	34,400	-0,3282	0,887	0,821
2,750	7,623	-10,383	-173,730	0,1820	-0,248	-4,148	2,750	4,920	-10,085	-55,292	0,1174	-0,241	-1,320	2,750	-11,849	38,029	1,571	-0,2829	0,908	0,037
2,800	6,885	-18,755	-157,865	0,1644	-0,448	-3,769	2,800	4,346	-12,598	-44,139	0,1038	-0,301	-1,054	2,800	-9,945	37,291	-31,416	-0,2374	0,890	-0,750
2,850	5,748	-26,169	-135,246	0,1372	-0,625	-3,229	2,850	3,660	-14,498	-30,631	0,0874	-0,346	-0,731	2,850	-8,119	34,887	-64,403	-0,1938	0,833	-1,537
2,900	4,268	-32,280	-106,343	0,1019	-0,771	-2,539	2,900	2,897	-15,661	-15,708	0,0691	-0,374	-0,375	2,900	-6,456	30,850	-95,033	-0,1541	0,736	-2,269
2,950	2,520	-36,804	-72,728	0,0601	-0,879	-1,736	2,950	2,094	-16,069	-0,785	0,0500	-0,384	-0,019	2,950	-5,034	25,384	-120,794	-0,1202	0,606	-2,884
3,000	0,587	-39,553	-36,600	0,0140	-0,944	-0,874	3,000	1,290	-15,739	13,195	0,0308	-0,376	0,315	3,000	-3,918	18,771	-140,743	-0,0935	0,448	-3,360
3,050	-1,436	-40,464	-1,100	-0,0343	-0,966	-0,026	3,050	0,520	-14,750	26,075	0,0124	-0,352	0,622	3,050	-3,157	11,310	-153,624	-0,0754	0,270	-3,667
3,100	-3,459	-39,663	32,987	-0,0826	-0,947	0,787	3,100	-0,185	-13,132	38,170	-0,0044	-0,313	0,911	3,100	-2,787	3,409	-158,022	-0,0665	0,081	-3,772
3,150	-5,402	-37,165	66,602	-0,1290	-0,887	1,590	3,150	-0,793	-10,933	47,752	-0,0189	-0,261	1,140	3,150	-2,816	-4,492	-154,095	-0,0672	-0,107	-3,679
3,200	-7,175	-33,002	96,761	-0,1713	-0,788	2,310	3,200	-1,279	-8,357	54,350	-0,0305	-0,200	1,298	3,200	-3,236	-12,001	-143,257	-0,0772	-0,287	-3,420
3,250	-8,702	-27,489	121,266	-0,2078	-0,656	2,895	3,250	-1,629	-5,498	58,905	-0,0389	-0,131	1,406	3,250	-4,017	-18,818	-126,763	-0,0959	-0,449	-3,026
3,300	-9,924	-20,876	140,429	-0,2369	-0,498	3,352	3,300	-1,828	-2,466	60,476	-0,0437	-0,059	1,444	3,300	-5,118	-24,677	-105,086	-0,1222	-0,589	-2,509
3,350	-10,790	-13,446	153,310	-0,2576	-0,321	3,660	3,350	-1,876	0,550	58,591	-0,0448	0,013	1,399	3,350	-6,484	-29,327	-78,854	-0,1548	-0,700	-1,882
3,400	-11,269	-5,545	159,750	-0,2690	-0,132	3,814	3,400	-1,773	3,393	54,350	-0,0423	0,081	1,298	3,400	-8,050	-32,563	-48,695	-0,1922	-0,777	-1,162
3,450	-11,344	2,529	159,279	-0,2708	0,060	3,803	3,450	-1,536	5,985	48,852	-0,0367	0,143	1,166	3,450	-9,741	-34,196	-16,808	-0,2325	-0,816	-0,401
3,500	-11,016	10,383	151,896	-0,2630	0,248	3,626	3,500	-1,175	8,278	41,626	-0,0281	0,198	0,994	3,500	-11,470	-34,243	13,509	-0,2738	-0,817	0,323
3,550	-10,306	17,719	139,016	-0,2460	0,423	3,319	3,550	-0,708	10,147	32,516	-0,0169	0,242	0,776	3,550	-13,165	-32,845	41,783	-0,3143	-0,784	0,997
