4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
0,050	0,005			1,1250E-4			0,050	0,002			3,7500E-5			0,050	0,017			4,1250E-4			0,050	0,003			7,5000E-5			0,050	-0,002			-3,7500E-5			0,050	0,002			3,7500E-5		
0,100	0,132	2,482		0,0032	0,059		0,100	0,104	1,539		0,0025	0,037		0,100	0,991	19,792		0,0237	0,472		0,100	0,228	4,979		0,0054	0,119		0,100	-0,063	-1,539		-0,0015	-0,037		0,100	0,066	1,147		0,0016	0,027	
0,150	0,253	2,309	-4,241	0,0060	0,055	-0,101	0,150	0,156	0,518	-20,106	0,0037	0,012	-0,480	0,150	1,996	20,043	-2,827	0,0477	0,478	-0,067	0,150	0,501	5,812	13,352	0,0120	0,139	0,319	0,150	-0,156	-2,058	-8,168	-0,0037	-0,049	-0,195	0,150	0,116	0,770	-9,111	0,0028	0,018	-0,217
0,200	0,363	2,058	-5,969	0,0087	0,049	-0,143	0,200	0,156	-0,471	-19,007	0,0037	-0,011	-0,454	0,200	2,996	19,509	-19,007	0,0715	0,466	-0,454	0,200	0,809	6,315	6,283	0,0193	0,151	0,150	0,200	-0,269	-2,356	-3,927	-0,0064	-0,056	-0,094	0,200	0,143	0,236	-10,996	0,0034	0,006	-0,262
0,250	0,459	1,712	-7,540	0,0109	0,041	-0,180	0,250	0,108	-1,382	-17,593	0,0026	-0,033	-0,420	0,250	3,947	18,143	-35,186	0,0942	0,433	-0,840	0,250	1,133	6,440	-1,571	0,0270	0,154	-0,038	0,250	-0,391	-2,450	0,785	-0,0093	-0,058	0,019	0,250	0,140	-0,330	-10,524	0,0033	-0,008	-0,251
0,300	0,534	1,304	-8,796	0,0127	0,031	-0,210	0,300	0,017	-2,231	-16,650	4,1250E-4	-0,053	-0,397	0,300	4,810	15,991	-49,794	0,1148	0,382	-1,189	0,300	1,453	6,158	-9,739	0,0347	0,147	-0,232	0,300	-0,514	-2,278	6,440	-0,0123	-0,054	0,154	0,300	0,110	-0,817	-8,639	0,0026	-0,019	-0,206
0,350	0,589	0,833	-9,896	0,0141	0,020	-0,236	0,350	-0,115	-3,047	-15,865	-0,0027	-0,073	-0,379	0,350	5,546	13,163	-62,361	0,1324	0,314	-1,489	0,350	1,748	5,466	-17,122	0,0417	0,131	-0,409	0,350	-0,619	-1,806	11,467	-0,0148	-0,043	0,274	0,350	0,058	-1,194	-5,498	0,0014	-0,029	-0,131
0,400	0,617	0,314	-9,739	0,0147	0,008	-0,233	0,400	-0,287	-3,817	-14,137	-0,0069	-0,091	-0,338	0,400	6,126	9,755	-72,728	0,1462	0,233	-1,736	0,400	2,000	4,445	-23,562	0,0477	0,106	-0,563	0,400	-0,694	-1,131	14,608	-0,0166	-0,027	0,349	0,400	-0,009	-1,367	-0,785	-2,2500E-4	-0,033	-0,019
0,450	0,620	-0,141	-8,796	0,0148	-0,003	-0,210	0,450	-0,496	-4,461	-11,467	-0,0118	-0,107	-0,274	0,450	6,522	5,890	-79,797	0,1557	0,141	-1,905	0,450	2,193	3,110	-28,903	0,0523	0,074	-0,690	0,450	-0,732	-0,346	15,394	-0,0175	-0,008	0,368	0,450	-0,079	-1,272	4,084	-0,0019	-0,030	0,098
