3-ohneKopplungeinzeln	3-ohneKopplungeinzeln	3-ohneKopplungeinzeln	3-ohneKopplungeinzeln
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	44,86		
0,010	43,49	-0,64	
0,020	43,59	-0,01	18,05
0,030	43,48	-0,28	0,65
0,040	43,03	0,01	-3,42
0,050	43,49	-0,34	-25,15
0,060	42,34	-0,50	33,68
0,070	42,49	0,33	10,91
0,080	43,00	-0,28	-48,60
0,090	41,94	-0,64	20,29
0,100	41,71	0,13	38,53
0,110	42,19	0,13	-26,63
0,120	41,97	-0,41	-31,85
0,130	41,38	-0,51	11,17
0,140	40,95	-0,18	22,10
0,150	41,01	-0,07	-2,67
0,160	40,81	-0,24	-10,77
0,170	40,54	-0,28	-2,74
0,180	40,25	-0,29	-1,44
0,190	39,96	-0,31	-0,15
0,200	39,62	-0,29	1,54
0,210	39,37	-0,28	-0,76
0,220	39,06	-0,31	-1,77
0,230	38,75	-0,32	-1,48
0,240	38,43	-0,34	1,00
0,250	38,08	-0,30	-5,05
0,260	37,84	-0,44	-3,14
0,270	37,20	-0,36	12,21
0,280	37,12	-0,20	3,16
0,290	36,81	-0,30	-12,76
0,300	36,52	-0,45	-2,10
0,310	35,91	-0,34	11,97
0,320	35,85	-0,21	-0,44
0,330	35,48	-0,35	-5,41
0,340	35,15	-0,32	3,41
0,350	34,84	-0,28	-16,45
0,360	34,60	-0,65	-3,98
0,370	33,55	-0,36	33,11
0,380	33,88	0,01	1,88
0,390	33,58	-0,32	-26,00
0,400	33,24	-0,51	-0,99
0,410	32,56	-0,34	17,02
0,420	32,56	-0,17	-5,41
0,430	32,23	-0,45	-9,17
0,440	31,66	-0,35	13,39
0,450	31,53	-0,18	3,42
0,460	31,30	-0,28	-6,78
0,470	30,97	-0,32	-3,17
0,480	30,67	-0,34	-1,71
0,490	30,28	-0,35	3,48
0,500	29,97	-0,27	3,43
0,510	29,73	-0,28	-1,72
0,520	29,40	-0,31	-1,87
0,530	29,11	-0,32	-0,14
0,540	28,76	-0,31	1,79
0,550	28,49	-0,28	0,90
0,560	28,20	-0,29	0,39
0,570	27,90	-0,28	1,00
0,580	27,65	-0,27	-0,79
0,590	27,35	-0,29	-1,96
0,600	27,06	-0,31	1,09
0,610	26,73	-0,27	4,17
0,620	26,53	-0,23	0,23
0,630	26,27	-0,26	-3,31
0,640	26,00	-0,30	0,60
0,650	25,68	-0,25	5,10
0,660	25,49	-0,19	-6,79
0,670	25,29	-0,39	-2,96
0,680	24,71	-0,25	16,05
0,690	24,78	-0,07	2,44
0,700	24,58	-0,20	-15,09
0,710	24,37	-0,37	-9,83
0,720	23,84	-0,40	15,31
0,730	23,57	-0,06	19,80
0,740	23,71	0,00	-6,76
0,750	23,56	-0,20	-8,85
0,760	23,32	-0,18	-5,59
0,770	23,20	-0,31	0,88
0,780	22,69	-0,16	7,83
0,790	22,87	-0,15	-0,99
0,800	22,39	-0,18	8,62
0,810	22,50	0,02	1,92
0,820	22,43	-0,15	-8,37
0,830	22,21	-0,15	-5,27
0,840	22,13	-0,25	-4,65
0,850	21,71	-0,24	15,67
0,860	21,64	0,06	13,86
0,870	21,83	0,04	-9,33
0,880	21,72	-0,12	-12,53
0,890	21,59	-0,22	2,42
0,900	21,29	-0,08	13,59
0,910	21,43	0,06	-5,29
0,920	21,40	-0,18	-11,31
0,930	21,07	-0,17	5,57
0,940	21,06	-0,07	6,21
0,950	20,93	-0,05	3,04
0,960	20,97	-0,01	2,61
0,970	20,91	0,01	2,39
0,980	20,98	0,04	-1,69
0,990	20,99	-0,03	-2,41
1,000	20,93	-0,01	2,15
1,010	20,97	0,02	1,73
1,020	20,96	0,02	9,13
1,030	21,02	0,20	8,60
1,040	21,36	0,20	-13,81
1,050	21,41	-0,08	-14,09
1,060	21,21	-0,09	6,00
1,070	21,24	0,04	14,02
1,080	21,29	0,20	10,72
1,090	21,63	0,26	-10,48
1,100	21,80	-0,01	-16,86
1,110	21,60	-0,08	13,65
1,120	21,64	0,26	17,46
1,130	22,12	0,27	-16,65
1,140	22,18	-0,07	-5,25
1,150	21,97	0,16	11,54
1,160	22,51	0,16	-1,24
1,170	22,28	0,14	-9,71
1,180	22,79	-0,04	0,49
1,190	22,20	0,15	21,81
1,200	23,09	0,40	-4,28
1,210	23,00	0,06	-13,21
1,220	23,21	0,13	14,20
1,230	23,27	0,35	-6,02
1,240	23,91	0,01	-7,59
1,250	23,29	0,20	17,93
1,260	24,30	0,37	-0,66
1,270	24,04	0,18	-4,38
1,280	24,67	0,28	3,86
1,290	24,61	0,26	4,37
1,300	25,19	0,37	-2,93
1,310	25,35	0,20	-4,91
1,320	25,59	0,27	4,65
1,330	25,90	0,29	-0,23
1,340	26,18	0,27	-3,24
1,350	26,44	0,23	-0,26
1,360	26,63	0,26	3,67
1,370	26,97	0,30	0,63
1,380	27,24	0,28	-1,80
1,390	27,52	0,27	-7,14
1,400	27,77	0,13	1,14
1,410	27,79	0,29	15,72
1,420	28,35	0,45	1,49
1,430	28,68	0,32	-7,25
1,440	28,99	0,30	-2,22
1,450	29,29	0,27	-0,99
1,460	29,54	0,28	-4,84
1,470	29,85	0,18	-3,61
1,480	29,90	0,21	-1,93
1,490	30,28	0,14	5,02
1,500	30,18	0,31	18,81
1,510	30,90	0,52	-0,57
1,520	31,21	0,30	-9,60
1,530	31,50	0,32	-8,02
1,540	31,86	0,14	-1,81
1,550	31,78	0,29	26,90
1,560	32,43	0,68	0,88
1,570	33,13	0,31	-27,19
1,580	33,04	0,13	2,71
1,590	33,40	0,36	17,74
1,600	33,76	0,49	-1,87
1,610	34,38	0,32	-15,24
1,620	34,40	0,18	-9,79
1,630	34,75	0,13	6,41
1,640	34,66	0,31	27,92
1,650	35,37	0,68	3,23
1,660	36,02	0,38	-34,56
1,670	36,12	-0,01	-3,72
1,680	36,01	0,30	34,52
1,690	36,73	0,68	-1,57
1,700	37,38	0,27	-19,70
1,710	37,27	0,29	11,82
1,720	37,96	0,51	1,89
1,730	38,29	0,33	-9,38
1,740	38,61	0,32	-1,34
1,750	38,92	0,30	0,88
1,760	39,22	0,34	-17,65
1,770	39,60	-0,05	-4,09
1,780	39,11	0,26	34,93
1,790	40,11	0,65	1,88
1,800	40,40	0,29	-18,08
1,810	40,70	0,28	-0,91
1,820	40,97	0,27	-0,48
1,830	41,25	0,27	0,99
1,840	41,52	0,29	-9,05
1,850	41,84	0,09	-0,83
1,860	41,71	0,28	-0,97
1,870	42,39	0,07	-1,80
1,880	41,86	0,24	17,65
1,890	42,88	0,43	-10,66
1,900	42,71	0,03	-8,42
1,910	42,94	0,26	-2,95
1,920	43,23	-0,03	7,72
1,930	42,88	0,41	17,83
1,940	44,06	0,33	-39,49
1,950	43,53	-0,38	3,21
1,960	43,31	0,39	29,33
1,970	44,31	0,21	-10,94
1,980	43,73	0,17	-1,05
1,990	44,66	0,19	-8,68
2,000	44,11	0,00	8,01
2,010	44,65	0,35	0,29
2,020	44,80	0,00	-20,36
2,030	44,66	-0,06	9,28
2,040	44,69	0,19	-7,22
2,050	45,04	-0,20	-17,28
2,060	44,28	-0,16	33,52
2,070	44,73	0,47	22,97
2,080	45,22	0,30	-14,74
2,090	45,34	0,17	-25,17
2,100	45,57	-0,20	-23,67
2,110	44,94	-0,30	12,71
2,120	44,97	0,05	22,26
2,130	45,05	0,15	-13,86
2,140	45,26	-0,22	-18,09
2,150	44,60	-0,22	28,51
2,160	44,82	0,35	16,80
2,170	45,30	0,12	-23,00
2,180	45,06	-0,11	-3,81
2,190	45,07	0,04	7,90
2,200	45,15	0,05	-0,63
2,210	45,16	0,03	-2,58
2,220	45,21	-0,01	-2,75
2,230	45,15	-0,02	-1,29
2,240	45,16	-0,03	-1,80
2,250	45,09	-0,06	1,73
2,260	45,04	0,00	10,90
2,270	45,09	0,16	-4,76
2,280	45,35	-0,09	-11,57
2,290	44,91	-0,07	19,94
2,300	45,20	0,31	3,51
2,310	45,52	0,00	-29,44
2,320	45,20	-0,28	-7,68
2,330	44,95	-0,16	10,28
2,340	44,88	-0,08	12,61
2,350	44,80	0,09	-2,65
2,360	45,07	-0,13	-13,00
2,370	44,54	-0,17	18,86
2,380	44,74	0,25	11,26
2,390	45,03	0,06	-16,49
2,400	44,86	-0,08	-8,02
2,410	44,87	-0,10	-7,04
2,420	44,66	-0,22	5,03
2,430	44,42	0,00	12,01
2,440	44,66	0,02	-6,51
2,450	44,45	-0,13	-8,40
2,460	44,40	-0,15	13,65
2,470	44,15	0,14	6,81
2,480	44,68	-0,02	-25,59
2,490	44,12	-0,37	-1,85
2,500	43,95	-0,05	5,28
2,510	44,02	-0,26	-18,02
2,520	43,42	-0,41	12,47
2,530	43,19	-0,01	12,99
2,540	43,39	-0,15	-30,10
2,550	42,89	-0,62	2,63
2,560	42,16	-0,10	26,23
2,570	42,69	-0,09	-19,26
2,580	41,98	-0,49	1,70
2,590	41,71	-0,06	21,06
2,600	41,86	-0,06	-10,49
2,610	41,59	-0,27	-10,03
2,620	41,33	-0,26	-0,86
2,630	41,06	-0,28	-0,96
2,640	40,76	-0,28	0,05
2,650	40,49	-0,28	-0,43
2,660	40,20	-0,29	-0,43
2,670	39,90	-0,29	-0,43
2,680	39,61	-0,30	-0,48
2,690	39,30	-0,30	0,10
2,700	39,01	-0,30	-0,86
2,710	38,70	-0,32	-1,01
2,720	38,37	-0,32	0,43
2,730	38,06	-0,31	0,53
2,740	37,75	-0,31	-0,38
2,750	37,45	-0,32	-0,95
2,760	37,12	-0,33	-0,05
2,770	36,79	-0,32	0,52
2,780	36,48	-0,32	-0,30
2,790	36,15	-0,32	-1,72
2,800	35,83	-0,35	-2,17
2,810	35,45	-0,37	2,49
2,820	35,10	-0,30	4,75
2,830	34,85	-0,27	-10,14
2,840	34,55	-0,51	-4,49
2,850	33,84	-0,36	17,79
2,860	33,83	-0,15	2,71
2,870	33,54	-0,31	-8,86
2,880	33,21	-0,33	-1,34
2,890	32,88	-0,33	-0,90
2,900	32,54	-0,34	-0,55
2,910	32,20	-0,35	0,70
2,920	31,85	-0,33	2,66
2,930	31,54	-0,29	2,00
2,940	31,26	-0,29	-1,18
2,950	30,96	-0,32	-2,81
2,960	30,63	-0,35	-0,19
2,970	30,26	-0,32	2,27
2,980	29,99	-0,30	0,90
2,990	29,66	-0,30	0,43
3,000	29,39	-0,29	0,47
3,010	29,07	-0,29	0,11
3,020	28,80	-0,29	-1,40
3,030	28,49	-0,32	-0,21
3,040	28,16	-0,29	2,72
3,050	27,90	-0,27	1,00
3,060	27,63	-0,27	-0,93
3,070	27,35	-0,28	0,74
3,080	27,06	-0,26	-10,22
3,090	26,83	-0,49	-1,15
3,100	26,08	-0,28	22,16
3,110	26,27	-0,05	2,38
3,120	25,99	-0,24	-20,34
3,130	25,80	-0,45	-0,82
3,140	25,08	-0,25	11,58
3,150	25,29	-0,22	-1,14
3,160	24,64	-0,27	10,50
3,170	24,74	-0,01	-4,28
3,180	24,62	-0,36	-19,03
3,190	24,02	-0,39	8,70
3,200	23,84	-0,19	-0,08
3,210	23,65	-0,39	8,63
3,220	23,05	-0,01	9,29
3,230	23,63	-0,21	-8,96
3,240	22,64	-0,19	3,20
3,250	23,24	-0,14	-0,40
3,260	22,35	-0,20	6,18
3,270	22,84	-0,02	3,43
3,280	22,31	-0,13	4,82
3,290	22,58	0,08	-10,79
3,300	22,46	-0,35	-11,38
3,310	21,88	-0,15	14,74
3,320	22,16	-0,05	-16,82
3,330	21,77	-0,49	-3,25
3,340	21,19	-0,12	31,96
3,350	21,54	0,15	-6,09
3,360	21,49	-0,24	-21,51
3,370	21,06	-0,28	14,90
3,380	20,93	0,06	26,32
3,390	21,18	0,25	3,64
3,400	21,43	0,13	-14,93
3,410	21,44	-0,05	-10,15
3,420	21,33	-0,07	2,09
3,430	21,29	-0,01	-4,58
3,440	21,31	-0,16	-0,08
3,450	20,97	-0,01	9,07
3,460	21,29	0,02	0,57
3,470	21,00	0,00	5,90
3,480	21,29	0,14	0,67
3,490	21,27	0,01	-3,75
3,500	21,32	0,06	1,93
3,510	21,39	0,05	-1,42
3,520	21,43	0,03	-6,45
3,530	21,46	-0,08	-6,75
3,540	21,28	-0,10	-2,33
3,550	21,25	-0,12	7,61
3,560	21,03	0,05	18,04
3,570	21,35	0,24	3,92
3,580	21,51	0,13	-4,97
3,590	21,61	0,14	7,66
3,600	21,79	0,28	-12,92
3,610	22,17	-0,12	-7,40
3,620	21,55	0,13	32,64
3,630	22,44	0,53	-16,11
3,640	22,62	-0,19	-37,76
3,650	22,06	-0,22	24,34
3,660	22,17	0,30	37,10
3,670	22,65	0,52	-13,22
3,680	23,21	0,03	-24,51
3,690	22,72	0,03	17,59
3,700	23,27	0,39	4,81
3,710	23,49	0,13	-3,90
3,720	23,53	0,31	4,86
3,730	24,10	0,22	-11,71
3,740	23,97	0,07	2,90
3,750	24,25	0,28	5,27
3,760	24,54	0,18	-4,12
3,770	24,61	0,20	12,80
3,780	24,94	0,43	8,94
3,790	25,47	0,38	-9,34
3,800	25,69	0,25	-5,16
3,810	25,97	0,27	1,55
3,820	26,24	0,28	-2,15
3,830	26,53	0,23	-2,55
3,840	26,71	0,23	2,97
3,850	26,98	0,29	3,67
3,860	27,29	0,30	0,60
3,870	27,58	0,30	-1,68
3,880	27,90	0,27	-2,57
3,890	28,12	0,25	3,04
3,900	28,40	0,33	3,00
3,910	28,77	0,31	-2,87
3,920	29,03	0,27	0,68
3,930	29,31	0,33	3,37
3,940	29,68	0,34	-1,21
3,950	29,99	0,30	-2,33
3,960	30,28	0,29	-0,15
3,970	30,57	0,30	1,72
3,980	30,88	0,33	2,50
3,990	31,22	0,35	-6,80
4,000	31,57	0,19	-9,59
4,010	31,60	0,16	12,91
4,020	31,89	0,45	9,60
4,030	32,50	0,35	-14,17
4,040	32,59	0,16	4,70
4,050	32,83	0,44	16,96
4,060	33,47	0,50	-3,24
4,070	33,83	0,38	-26,79
4,080	34,23	-0,03	-4,19
4,090	33,77	0,29	35,85
4,100	34,81	0,69	1,67
4,110	35,14	0,33	-18,36
4,120	35,47	0,32	-0,52
4,130	35,78	0,32	0,43
4,140	36,10	0,33	0,52
4,150	36,43	0,33	-0,43
4,160	36,76	0,32	-0,47
4,170	37,07	0,32	0,05
4,180	37,39	0,32	-0,43
4,190	37,70	0,31	-0,52
4,200	38,01	0,31	0,48
4,210	38,32	0,32	0,10
4,220	38,65	0,31	-0,96
4,230	38,94	0,30	0,00
4,240	39,25	0,31	0,10
4,250	39,56	0,30	-0,91
4,260	39,85	0,29	-0,43
4,270	40,15	0,29	-0,38
4,280	40,44	0,28	-0,91
4,290	40,71	0,27	-0,48
4,300	40,99	0,27	0,05
4,310	41,26	0,28	-0,43
4,320	41,54	0,27	-0,43
4,330	41,80	0,27	-0,38
4,340	42,08	0,26	-0,80
4,350	42,31	0,25	-1,23
4,360	42,58	0,23	-1,23
4,370	42,78	0,23	-6,34
4,380	43,03	0,11	0,28
4,390	43,00	0,23	2,90
4,400	43,50	0,17	-10,19
4,410	43,33	0,03	11,01
4,420	43,55	0,39	21,43
4,430	44,10	0,46	-23,14
4,440	44,47	-0,08	-32,37
4,450	43,95	-0,19	10,32
4,460	44,09	0,13	12,04
4,470	44,20	0,05	-3,73
4,480	44,19	0,05	3,30
4,490	44,31	0,12	-2,90
4,500	44,42	0,00	-5,20
4,510	44,31	0,01	5,45
4,520	44,45	0,11	15,19
4,530	44,52	0,32	9,85
4,540	45,08	0,30	-20,45
4,550	45,12	-0,09	-16,86
4,560	44,89	-0,03	3,09
4,570	45,05	-0,03	-3,03
4,580	44,83	-0,10	11,47
4,590	44,86	0,20	18,86
4,600	45,23	0,28	-1,93
4,610	45,43	0,16	-11,68
4,620	45,55	0,05	-7,48
4,630	45,53	0,01	-7,27
4,640	45,57	-0,10	3,73
4,650	45,33	0,08	3,10
4,660	45,74	-0,03	-14,64
4,670	45,26	-0,21	3,98
4,680	45,32	0,05	4,66
4,690	45,35	-0,11	-11,44
4,700	45,09	-0,18	4,97
4,710	44,99	-0,02	11,62
4,720	45,06	0,05	-0,08
4,730	45,08	-0,02	3,23
4,740	45,03	0,11	15,18
4,750	45,31	0,29	-7,38
4,760	45,60	-0,03	-18,90
4,770	45,24	-0,09	24,77
4,780	45,42	0,46	3,92
4,790	46,16	-0,01	-59,83
4,800	45,39	-0,74	-31,12
4,810	44,69	-0,64	37,96
4,820	44,12	0,02	35,73
4,830	44,74	0,08	-15,00
4,840	44,28	-0,28	-2,36
4,850	44,19	0,03	16,35
4,860	44,35	0,05	0,57
4,870	44,29	0,04	7,99
4,880	44,43	0,21	0,39
4,890	44,71	0,05	-16,84
4,900	44,54	-0,13	-30,98
4,910	44,45	-0,57	-4,00
4,920	43,40	-0,21	29,27
4,930	44,04	0,02	11,18
4,940	43,43	0,02	2,45
4,950	44,08	0,07	-20,41
4,960	43,57	-0,39	-14,50
4,970	43,29	-0,22	14,81
4,980	43,12	-0,09	18,99
4,990	43,11	0,16	5,92
5,000	43,43	0,02	-21,57
5,010	43,15	-0,28	-11,99
5,020	42,88	-0,22	11,56
5,030	42,72	-0,04	6,07
5,040	42,79	-0,09	-10,27
5,050	42,53	-0,25	-6,79
5,060	42,29	-0,23	-8,58
5,070	42,07	-0,42	-2,65
5,080	41,45	-0,28	15,48
5,090	41,50	-0,11	0,36
5,100	41,23	-0,28	-7,72
5,110	40,95	-0,27	0,15
5,120	40,70	-0,27	-1,34
5,130	40,40	-0,29	-0,91
5,140	40,11	-0,29	-0,43
5,150	39,82	-0,30	-0,53
5,160	39,51	-0,30	0,48
5,170	39,21	-0,29	0,10
5,180	38,92	-0,30	-0,91
5,190	38,61	-0,31	-0,43
5,200	38,30	-0,31	-0,43
5,210	38,00	-0,32	-0,53
5,220	37,67	-0,32	0,48
5,230	37,36	-0,31	0,09
5,240	37,05	-0,32	-0,95
5,250	36,72	-0,33	-0,05
5,260	36,39	-0,32	0,52
5,270	36,09	-0,32	-0,43
5,280	35,76	-0,33	-0,48
5,290	35,43	-0,33	1,73E-12
5,300	35,10	-0,33	-0,04
5,310	34,78	-0,33	0,43
5,320	34,45	-0,32	0,52
5,330	34,14	-0,32	-0,43
5,340	33,81	-0,33	-0,47
5,350	33,49	-0,33	0,00
5,360	33,16	-0,33	-0,04
5,370	32,83	-0,33	0,43
5,380	32,50	-0,32	0,55
5,390	32,19	-0,32	-0,90
5,400	31,87	-0,34	-0,63
5,410	31,52	-0,33	1,80
5,420	31,21	-0,30	1,02
5,430	30,92	-0,31	-0,94
5,440	30,59	-0,32	-0,08
5,450	30,28	-0,31	0,90
5,460	29,97	-0,30	0,51
5,470	29,68	-0,30	-0,47
5,480	29,37	-0,31	-0,07
5,490	29,06	-0,30	0,97
5,500	28,77	-0,29	-0,50
5,510	28,48	-0,31	0,29
5,520	28,14	-0,29	2,33
5,530	27,90	-0,27	0,14
5,540	27,61	-0,28	-1,93
5,550	27,34	-0,30	0,69
5,560	27,00	-0,27	3,25
5,570	26,80	-0,24	0,04
5,580	26,53	-0,27	-0,53
5,590	26,27	-0,25	0,93
5,600	26,03	-0,25	-0,03
5,610	25,77	-0,25	0,40
5,620	25,53	-0,24	0,96
5,630	25,28	-0,23	-0,49
5,640	25,06	-0,25	0,34
5,650	24,78	-0,22	1,79
5,660	24,61	-0,22	0,80
5,670	24,35	-0,21	1,81
5,680	24,20	-0,18	0,49
5,690	23,99	-0,20	-0,43
5,700	23,80	-0,19	-0,49
5,710	23,61	-0,21	0,25
5,720	23,38	-0,18	3,19
5,730	23,25	-0,14	0,98
5,740	23,10	-0,16	-8,37
5,750	22,92	-0,31	0,83
5,760	22,47	-0,15	16,01
5,770	22,63	0,01	0,89
5,780	22,49	-0,13	-6,90
5,790	22,37	-0,13	0,37
5,800	22,23	-0,12	1,73
5,810	22,13	-0,09	-5,86
5,820	22,04	-0,24	-2,28
5,830	21,65	-0,14	14,82
5,840	21,76	0,06	4,99
5,850	21,76	-0,04	-6,75
5,860	21,68	-0,08	-1,83
5,870	21,61	-0,08	-0,11
5,880	21,52	-0,08	1,64
5,890	21,45	-0,04	3,09
5,900	21,43	-0,02	1,83
5,910	21,41	-0,01	8,87E-5
5,920	21,42	-0,02	-0,08
5,930	21,38	-0,01	1,34
5,940	21,40	0,01	0,43
5,950	21,40	0,00	0,40
5,960	21,39	0,02	0,94
5,970	21,43	0,02	-0,48
5,980	21,43	0,01	0,30
5,990	21,45	0,02	2,58
6,000	21,48	0,06	2,69
6,010	21,56	0,08	0,91
6,020	21,63	0,08	0,08
6,030	21,72	0,08	-1,29
6,040	21,79	0,05	-1,59
6,050	21,82	0,05	3,47
6,060	21,88	0,12	3,25
6,070	22,06	0,11	-1,03
6,080	22,11	0,10	1,80
6,090	22,27	0,15	0,48
6,100	22,41	0,11	-0,65
6,110	22,49	0,14	3,21
6,120	22,68	0,17	0,05
6,130	22,83	0,14	-0,97
6,140	22,95	0,15	0,86
6,150	23,14	0,15	0,86
6,160	23,26	0,17	0,86
6,170	23,49	0,17	0,74
6,180	23,60	0,19	2,73
6,190	23,86	0,23	0,49
6,200	24,05	0,20	-0,52
6,210	24,25	0,21	0,92
6,220	24,48	0,21	-0,03
6,230	24,68	0,21	0,40
6,240	24,91	0,22	0,99
6,250	25,13	0,23	-0,96
6,260	25,37	0,20	0,24
6,270	25,54	0,24	3,20
6,280	25,85	0,27	0,49
6,290	26,07	0,25	-0,53
6,300	26,35	0,26	1,43
6,310	26,59	0,28	-6,91
6,320	26,90	0,12	-1,57
6,330	26,82	0,25	15,15
6,340	27,39	0,42	2,29
6,350	27,67	0,29	-6,02
6,360	27,98	0,30	0,03
6,370	28,27	0,29	-0,46
6,380	28,56	0,29	0,04
6,390	28,85	0,29	-0,36
6,400	29,15	0,29	-0,88
6,410	29,42	0,28	-5,19
6,420	29,70	0,18	-16,65
6,430	29,79	-0,06	-3,50
6,440	29,58	0,11	20,70
6,450	30,01	0,36	-1,24
6,460	30,30	0,09	-9,84
6,470	30,18	0,16	23,06
6,480	30,61	0,55	5,92
6,490	31,28	0,28	-22,88
6,500	31,17	0,09	19,23
6,510	31,46	0,66	31,06
6,520	32,49	0,71	-31,32
6,530	32,88	0,04	-36,98
6,540	32,57	-0,03	23,92
6,550	32,82	0,51	18,42
6,560	33,59	0,34	-13,27
6,570	33,50	0,25	15,43
6,580	34,09	0,65	13,89
6,590	34,80	0,53	-17,08
6,600	35,15	0,31	-9,80
6,610	35,41	0,33	5,06
6,620	35,81	0,41	-13,02
6,630	36,22	0,07	-6,07
6,640	35,95	0,29	33,76
6,650	36,80	0,75	1,70
6,660	37,44	0,32	-22,75
6,670	37,44	0,29	-0,61
6,680	38,02	0,31	0,71
6,690	38,05	0,30	7,17
6,700	38,63	0,45	0,76
6,710	38,96	0,32	-7,49
6,720	39,27	0,30	-1,39
6,730	39,56	0,29	-0,43
6,740	39,85	0,29	-0,43
6,750	40,15	0,28	-0,48
6,760	40,42	0,28	0,05
6,770	40,71	0,28	-0,38
6,780	40,99	0,28	-0,91
6,790	41,27	0,27	-0,48
6,800	41,52	0,27	0,11
6,810	41,80	0,27	-0,70
6,820	42,06	0,25	-2,20
6,830	42,30	0,22	-1,07
6,840	42,51	0,23	-6,98
6,850	42,77	0,08	-7,57
6,860	42,68	0,08	6,61
6,870	42,92	0,22	6,83
6,880	43,11	0,22	-8,16
6,890	43,36	0,05	-10,06
6,900	43,22	0,01	6,50
6,910	43,39	0,18	11,13
6,920	43,59	0,24	0,54
6,930	43,86	0,19	-4,02
6,940	43,98	0,16	-6,61
6,950	44,18	0,06	-7,15
6,960	44,10	0,01	9,87
6,970	44,20	0,26	16,02
6,980	44,62	0,33	-3,20
6,990	44,87	0,20	-8,95
7,000	45,01	0,16	-9,45
7,010	45,19	0,01	-12,39
7,020	45,03	-0,09	12,05
7,030	45,00	0,25	22,78
7,040	45,52	0,36	-6,03
7,050	45,73	0,13	-14,68
7,060	45,77	0,07	-2,37
7,070	45,87	0,08	-7,74
7,080	45,93	-0,08	-8,32
7,090	45,70	-0,09	-4,80
7,100	45,76	-0,18	5,11
7,110	45,34	0,02	24,08
7,120	45,79	0,30	-6,69
7,130	45,94	-0,12	-30,49
7,140	45,56	-0,31	0,72
7,150	45,32	-0,10	13,88
7,160	45,35	-0,03	7,13
7,170	45,26	0,04	-6,24
7,180	45,43	-0,16	-7,82
7,190	44,94	-0,12	24,85
7,200	45,19	0,34	8,08
7,210	45,63	0,04	-34,89
7,220	45,28	-0,36	-13,90
7,230	44,91	-0,23	33,08
7,240	44,81	0,30	28,89
7,250	45,52	0,34	-30,00
7,260	45,50	-0,30	-11,86
7,270	44,93	0,11	20,05
7,280	45,71	0,11	-13,59
7,290	45,14	-0,17	-1,15
7,300	45,38	0,08	5,97
7,310	45,30	-0,05	-1,48
7,320	45,29	0,05	5,34
7,330	45,41	0,06	-7,03
7,340	45,41	-0,09	-9,41
7,350	45,23	-0,13	-10,12
7,360	45,16	-0,29	-12,04
7,370	44,65	-0,37	21,06
7,380	44,42	0,13	30,08
7,390	44,92	0,23	-14,01
7,400	44,89	-0,15	-21,59
7,410	44,62	-0,20	-3,54
7,420	44,50	-0,22	8,50
7,430	44,18	-0,03	11,84
7,440	44,44	0,02	-7,82
7,450	44,21	-0,18	-19,55
7,460	44,07	-0,37	-12,86
7,470	43,46	-0,44	8,44
7,480	43,19	-0,21	19,34
7,490	43,05	-0,05	6,89
7,500	43,08	-0,07	-16,78
7,510	42,92	-0,39	-15,44
7,520	42,30	-0,38	7,58
