4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl
Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²)
0;52.3;;;0;48.52;;;0;51.95;;
0.02;52.65;0.08;;0.02;48.23;-0.15;;0.02;51.7;-0.18;
0.04;52.62;-0.09;-4.47;0.04;47.94;-0.15;-0.22;0.04;51.23;-0.19;0.85
0.06;52.31;-0.1;1.06;0.06;47.63;-0.15;-0.12;0.06;50.93;-0.15;1.06
0.08;52.23;-0.04;-0.21;0.08;47.32;-0.16;0.11;0.08;50.64;-0.15;-0.22
0.1;52.14;-0.11;-0.42;0.1;47.01;-0.15;0.12;0.1;50.33;-0.15;-0.11
0.12;51.8;-0.06;1.15;0.12;46.72;-0.15;-0.11;0.12;50.02;-0.15;-0.1
0.14;51.9;-0.06;-1.6;0.14;46.41;-0.16;-0.01;0.14;49.71;-0.16;-0.23
0.16;51.56;-0.12;-0.3;0.16;46.1;-0.15;0.22;0.16;49.39;-0.16;-0.02
0.18;51.4;-0.07;1.08;0.18;45.81;-0.15;0.11;0.18;49.06;-0.16;0.23
0.2;51.27;-0.08;-0.55;0.2;45.51;-0.15;0.1;0.2;48.75;-0.15;0.01
0.22;51.08;-0.09;-0.45;0.22;45.22;-0.14;0.22;0.22;48.44;-0.16;-0.12
0.24;50.89;-0.1;-0.1;0.24;44.94;-0.14;0.21;0.24;48.11;-0.16;0.11
0.26;50.69;-0.1;-0.2;0.26;44.67;-0.13;0.32;0.26;47.8;-0.15;0.11
0.28;50.5;-0.11;-0.45;0.28;44.41;-0.13;0.43;0.28;47.49;-0.16;0.09
0.3;50.26;-0.12;-0.12;0.3;44.17;-0.12;0.44;0.3;47.18;-0.15;0.32
0.32;50.03;-0.11;0.02;0.32;43.94;-0.11;0.32;0.32;46.89;-0.14;0.34
0.34;49.81;-0.12;-0.32;0.34;43.74;-0.1;0.32;0.34;46.61;-0.14;0.1
0.36;49.57;-0.12;-0.34;0.36;43.53;-0.1;0.43;0.36;46.34;-0.14;0.2
0.38;49.31;-0.13;-0.12;0.38;43.35;-0.09;0.42;0.38;46.06;-0.13;0.43
0.4;49.06;-0.13;0.01;0.4;43.18;-0.08;0.54;0.4;45.82;-0.12;0.43
0.42;48.8;-0.13;-0.09;0.42;43.04;-0.07;0.54;0.42;45.58;-0.11;0.44
0.44;48.54;-0.13;-0.34;0.44;42.92;-0.06;0.43;0.44;45.37;-0.1;0.21
0.46;48.27;-0.14;-0.12;0.46;42.82;-0.05;0.42;0.46;45.16;-0.1;0.31
0.48;47.97;-0.14;0.12;0.48;42.73;-0.04;0.53;0.48;44.95;-0.09;0.55
0.5;47.72;-0.14;-0.11;0.5;42.66;-0.03;0.65;0.5;44.8;-0.08;0.32
0.52;47.42;-0.14;-0.12;0.52;42.62;-0.01;0.65;0.52;44.63;-0.08;0.32
0.54;47.15;-0.14;-0.01;0.54;42.6;-0.000799;0.65;0.54;44.49;-0.07;0.42
0.56;46.85;-0.14;0.11;0.56;42.62;0.01;0.54;0.56;44.35;-0.06;0.54
0.58;46.58;-0.14;0.12;0.58;42.65;0.02;0.43;0.58;44.24;-0.05;0.44
0.6;46.3;-0.14;-0.11;0.6;42.7;0.03;0.42;0.6;44.16;-0.04;0.31
0.62;46.03;-0.14;-0.01;0.62;42.77;0.04;0.53;0.62;44.07;-0.04;0.54
0.64;45.73;-0.14;0.23;0.64;42.85;0.05;0.65;0.64;44.02;-0.02;0.44
0.66;45.48;-0.13;0.01;0.66;42.97;0.06;0.54;0.66;43.98;-0.02;0.21
0.68;45.2;-0.14;-0.13;0.68;43.11;0.07;0.43;0.68;43.95;-0.01;0.32
0.7;44.93;-0.14;0.21;0.7;43.26;0.08;0.43;0.7;43.93;0;0.43
0.72;44.65;-0.13;0.34;0.72;43.44;0.09;0.43;0.72;43.93;0;0.43
0.74;44.41;-0.12;0.1;0.74;43.62;0.1;0.43;0.74;43.94;0.01;0.43
0.76;44.15;-0.13;0.21;0.76;43.83;0.11;0.43;0.76;43.98;0.02;0.44
0.78;43.91;-0.12;0.34;0.78;44.05;0.12;0.44;0.78;44.03;0.03;0.34
0.8;43.68;-0.11;0.11;0.8;44.29;0.12;0.33;0.8;44.1;0.03;0.11
0.82;43.46;-0.11;0.1;0.82;44.55;0.13;0.21;0.82;44.17;0.03;0.09
0.84;43.24;-0.11;0.22;0.84;44.81;0.13;0.21;0.84;44.23;0.04;0.34
0.86;43.03;-0.1;0.21;0.86;45.08;0.14;0.21;0.86;44.32;0.05;0.11
0.88;42.82;-0.1;0.32;0.88;45.35;0.14;0.21;0.88;44.42;0.04;0.08
0.9;42.63;-0.09;0.33;0.9;45.65;0.15;0.22;0.9;44.49;0.05;0.57
0.92;42.46;-0.09;0.21;0.92;45.94;0.15;0.11;0.92;44.63;0.07;0.13
0.94;42.29;-0.08;0.32;0.94;46.25;0.15;-0.01;0.94;44.75;0.06;-0.24
0.96;42.13;-0.07;0.44;0.96;46.54;0.15;0.11;0.96;44.85;0.06;0.22
0.98;41.99;-0.06;0.32;0.98;46.85;0.15;0.12;0.98;44.97;0.06;0.12
1;41.87;-0.06;0.32;1;47.16;0.16;-0.1;1;45.11;0.06;-0.13
1.02;41.75;-0.05;0.33;1.02;47.47;0.15;-0.22;1.02;45.21;0.06;0.23
1.04;41.66;-0.05;0.2;1.04;47.76;0.15;-0.11;1.04;45.35;0.07;0.02
1.06;41.56;-0.04;0.43;1.06;48.05;0.15;-0.1;1.06;45.49;0.06;-0.34
1.08;41.49;-0.03;0.44;1.08;48.35;0.14;-0.21;1.08;45.59;0.06;7.56E-05
1.1;41.44;-0.03;0.22;1.1;48.62;0.14;-0.21;1.1;45.71;0.06;0.01
1.12;41.39;-0.02;0.2;1.12;48.9;0.13;-0.32;1.12;45.83;0.06;-0.21
1.14;41.35;-0.02;0.43;1.14;49.16;0.12;-0.33;1.14;45.93;0.05;-0.22
1.16;41.31;0;0.44;1.16;49.4;0.12;-0.21;1.16;46.04;0.05;-0.11
1.18;41.33;-0.000258;0.19;1.18;49.64;0.12;-0.31;1.18;46.12;0.05;-0.09
1.2;41.31;0;0.66;1.2;49.87;0.11;-0.43;1.2;46.23;0.04;-0.33
1.22;41.34;0.03;0.46;1.22;50.07;0.1;-0.43;1.22;46.3;0.03;-0.22
1.24;41.42;0.02;-0.04;1.24;50.26;0.09;-0.42;1.24;46.37;0.03;-0.1
1.26;41.43;0.02;0.65;1.26;50.44;0.08;-0.53;1.26;46.44;0.03;-0.21
1.28;41.51;0.05;0.58;1.28;50.59;0.07;-0.64;1.28;46.49;0.03;-0.32
1.3;41.62;0.05;-0.13;1.3;50.72;0.06;-0.65;1.3;46.54;0.02;-0.33
1.32;41.7;0.04;0.19;1.32;50.82;0.04;-0.55;1.32;46.56;0.01;-0.21
1.34;41.79;0.06;0.66;1.34;50.89;0.03;-0.31;1.34;46.59;0.01;-0.33
1.36;41.93;0.07;0.44;1.36;50.96;0.03;-0.41;1.36;46.59;0;-0.22
1.38;42.06;0.07;0.21;1.38;51.01;0.02;-0.65;1.38;46.59;0.000291;-0.09
1.4;42.22;0.08;0.21;1.4;51.03;0;-0.55;1.4;46.6;0;-0.32
1.42;42.37;0.08;0.21;1.42;51.03;0;-0.41;1.42;46.58;-0.01;-0.44
1.44;42.54;0.09;0.32;1.44;51.02;-0.01;-0.64;1.44;46.55;-0.02;-0.22
1.46;42.71;0.09;0.33;1.46;50.99;-0.03;-0.78;1.46;46.49;-0.02;-0.09
1.48;42.92;0.1;0.21;1.48;50.9;-0.04;-0.43;1.48;46.46;-0.03;-0.33
