4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	52,30			0,000	48,52			0,000	51,95		
0,020	52,65	0,08		0,020	48,23	-0,15		0,020	51,70	-0,18	
0,040	52,62	-0,09	-4,47	0,040	47,94	-0,15	-0,22	0,040	51,23	-0,19	0,85
0,060	52,31	-0,10	1,06	0,060	47,63	-0,15	-0,12	0,060	50,93	-0,15	1,06
0,080	52,23	-0,04	-0,21	0,080	47,32	-0,16	0,11	0,080	50,64	-0,15	-0,22
0,100	52,14	-0,11	-0,42	0,100	47,01	-0,15	0,12	0,100	50,33	-0,15	-0,11
0,120	51,80	-0,06	1,15	0,120	46,72	-0,15	-0,11	0,120	50,02	-0,15	-0,10
0,140	51,90	-0,06	-1,60	0,140	46,41	-0,16	-0,01	0,140	49,71	-0,16	-0,23
0,160	51,56	-0,12	-0,30	0,160	46,10	-0,15	0,22	0,160	49,39	-0,16	-0,02
0,180	51,40	-0,07	1,08	0,180	45,81	-0,15	0,11	0,180	49,06	-0,16	0,23
0,200	51,27	-0,08	-0,55	0,200	45,51	-0,15	0,10	0,200	48,75	-0,15	0,01
0,220	51,08	-0,09	-0,45	0,220	45,22	-0,14	0,22	0,220	48,44	-0,16	-0,12
0,240	50,89	-0,10	-0,10	0,240	44,94	-0,14	0,21	0,240	48,11	-0,16	0,11
0,260	50,69	-0,10	-0,20	0,260	44,67	-0,13	0,32	0,260	47,80	-0,15	0,11
0,280	50,50	-0,11	-0,45	0,280	44,41	-0,13	0,43	0,280	47,49	-0,16	0,09
0,300	50,26	-0,12	-0,12	0,300	44,17	-0,12	0,44	0,300	47,18	-0,15	0,32
0,320	50,03	-0,11	0,02	0,320	43,94	-0,11	0,32	0,320	46,89	-0,14	0,34
0,340	49,81	-0,12	-0,32	0,340	43,74	-0,10	0,32	0,340	46,61	-0,14	0,10
0,360	49,57	-0,12	-0,34	0,360	43,53	-0,10	0,43	0,360	46,34	-0,14	0,20
0,380	49,31	-0,13	-0,12	0,380	43,35	-0,09	0,42	0,380	46,06	-0,13	0,43
0,400	49,06	-0,13	0,01	0,400	43,18	-0,08	0,54	0,400	45,82	-0,12	0,43
0,420	48,80	-0,13	-0,09	0,420	43,04	-0,07	0,54	0,420	45,58	-0,11	0,44
0,440	48,54	-0,13	-0,34	0,440	42,92	-0,06	0,43	0,440	45,37	-0,10	0,21
0,460	48,27	-0,14	-0,12	0,460	42,82	-0,05	0,42	0,460	45,16	-0,10	0,31
0,480	47,97	-0,14	0,12	0,480	42,73	-0,04	0,53	0,480	44,95	-0,09	0,55
0,500	47,72	-0,14	-0,11	0,500	42,66	-0,03	0,65	0,500	44,80	-0,08	0,32
0,520	47,42	-0,14	-0,12	0,520	42,62	-0,01	0,65	0,520	44,63	-0,08	0,32
0,540	47,15	-0,14	-0,01	0,540	42,60	-7,99E-4	0,65	0,540	44,49	-0,07	0,42
0,560	46,85	-0,14	0,11	0,560	42,62	0,01	0,54	0,560	44,35	-0,06	0,54
0,580	46,58	-0,14	0,12	0,580	42,65	0,02	0,43	0,580	44,24	-0,05	0,44
0,600	46,30	-0,14	-0,11	0,600	42,70	0,03	0,42	0,600	44,16	-0,04	0,31
0,620	46,03	-0,14	-0,01	0,620	42,77	0,04	0,53	0,620	44,07	-0,04	0,54
0,640	45,73	-0,14	0,23	0,640	42,85	0,05	0,65	0,640	44,02	-0,02	0,44
0,660	45,48	-0,13	0,01	0,660	42,97	0,06	0,54	0,660	43,98	-0,02	0,21
0,680	45,20	-0,14	-0,13	0,680	43,11	0,07	0,43	0,680	43,95	-0,01	0,32
0,700	44,93	-0,14	0,21	0,700	43,26	0,08	0,43	0,700	43,93	0,00	0,43
0,720	44,65	-0,13	0,34	0,720	43,44	0,09	0,43	0,720	43,93	0,00	0,43
0,740	44,41	-0,12	0,10	0,740	43,62	0,10	0,43	0,740	43,94	0,01	0,43
0,760	44,15	-0,13	0,21	0,760	43,83	0,11	0,43	0,760	43,98	0,02	0,44
0,780	43,91	-0,12	0,34	0,780	44,05	0,12	0,44	0,780	44,03	0,03	0,34
0,800	43,68	-0,11	0,11	0,800	44,29	0,12	0,33	0,800	44,10	0,03	0,11
0,820	43,46	-0,11	0,10	0,820	44,55	0,13	0,21	0,820	44,17	0,03	0,09
0,840	43,24	-0,11	0,22	0,840	44,81	0,13	0,21	0,840	44,23	0,04	0,34
0,860	43,03	-0,10	0,21	0,860	45,08	0,14	0,21	0,860	44,32	0,05	0,11
0,880	42,82	-0,10	0,32	0,880	45,35	0,14	0,21	0,880	44,42	0,04	0,08
0,900	42,63	-0,09	0,33	0,900	45,65	0,15	0,22	0,900	44,49	0,05	0,57
0,920	42,46	-0,09	0,21	0,920	45,94	0,15	0,11	0,920	44,63	0,07	0,13
0,940	42,29	-0,08	0,32	0,940	46,25	0,15	-0,01	0,940	44,75	0,06	-0,24
0,960	42,13	-0,07	0,44	0,960	46,54	0,15	0,11	0,960	44,85	0,06	0,22
0,980	41,99	-0,06	0,32	0,980	46,85	0,15	0,12	0,980	44,97	0,06	0,12
1,000	41,87	-0,06	0,32	1,000	47,16	0,16	-0,10	1,000	45,11	0,06	-0,13
1,020	41,75	-0,05	0,33	1,020	47,47	0,15	-0,22	1,020	45,21	0,06	0,23
1,040	41,66	-0,05	0,20	1,040	47,76	0,15	-0,11	1,040	45,35	0,07	0,02
1,060	41,56	-0,04	0,43	1,060	48,05	0,15	-0,10	1,060	45,49	0,06	-0,34
1,080	41,49	-0,03	0,44	1,080	48,35	0,14	-0,21	1,080	45,59	0,06	7,56E-5
1,100	41,44	-0,03	0,22	1,100	48,62	0,14	-0,21	1,100	45,71	0,06	0,01
1,120	41,39	-0,02	0,20	1,120	48,90	0,13	-0,32	1,120	45,83	0,06	-0,21
1,140	41,35	-0,02	0,43	1,140	49,16	0,12	-0,33	1,140	45,93	0,05	-0,22
1,160	41,31	0,00	0,44	1,160	49,40	0,12	-0,21	1,160	46,04	0,05	-0,11
