4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer
Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²)
0;33.96;;;0;48.46;;;0;56.24;;
0.02;34.25;0.15;;0.02;48.79;0.16;;0.02;56.28;0;
0.04;34.57;0.17;0.65;0.04;49.1;0.15;-0.54;0.04;56.25;-0.02;-3.17
0.06;34.91;0.18;0.55;0.06;49.38;0.14;-0.51;0.06;56.21;-0.12;-1.35
0.08;35.29;0.19;0.32;0.08;49.66;0.13;-0.86;0.08;55.75;-0.07;2.55
0.1;35.67;0.19;0.32;0.1;49.88;0.1;-0.87;0.1;55.92;-0.02;-1.33
0.12;36.06;0.2;0.33;0.12;50.07;0.09;-0.74;0.12;55.66;-0.13;-2.42
0.14;36.48;0.21;0.21;0.14;50.25;0.07;-0.86;0.14;55.42;-0.12;-0.26
0.16;36.89;0.21;0.32;0.16;50.37;0.06;-0.86;0.16;55.19;-0.14;-1.07
0.18;37.32;0.22;0.44;0.18;50.48;0.04;-0.86;0.18;54.88;-0.16;-1.19
0.2;37.76;0.23;0.33;0.2;50.53;0.02;-0.86;0.2;54.54;-0.18;-1.14
0.22;38.23;0.23;0.21;0.22;50.57;0.01;-0.86;0.22;54.15;-0.21;-0.09
0.24;38.69;0.24;0.22;0.24;50.55;-0.01;-0.86;0.24;53.71;-0.19;-1.7
0.26;39.17;0.24;0.11;0.26;50.52;-0.03;-0.87;0.26;53.4;-0.28;-3.72
0.28;39.65;0.24;0.11;0.28;50.44;-0.05;-0.75;0.28;52.61;-0.34;0.04
0.3;40.13;0.24;0.12;0.3;50.34;-0.06;-0.75;0.3;52.05;-0.27;1.19
0.32;40.63;0.25;-0.11;0.32;50.2;-0.08;-0.87;0.32;51.51;-0.29;-1.95
0.34;41.11;0.24;-0.01;0.34;50.03;-0.09;-0.75;0.34;50.9;-0.35;-1.9
0.36;41.59;0.24;0.12;0.36;49.83;-0.11;-0.75;0.36;50.1;-0.36;0.64
0.38;42.09;0.25;-0.11;0.38;49.61;-0.12;-0.87;0.38;49.45;-0.33;0.84
0.4;42.57;0.24;-0.12;0.4;49.33;-0.14;-0.76;0.4;48.79;-0.33;-0.42
0.42;43.06;0.24;0.11;0.42;49.04;-0.15;-0.65;0.42;48.12;-0.34;-0.55
0.44;43.54;0.25;0.03;0.44;48.72;-0.17;-0.54;0.44;47.42;-0.35;-0.33
0.46;44.04;0.24;-0.44;0.46;48.37;-0.18;-0.53;0.46;46.71;-0.36;-0.22
0.48;44.5;0.23;-0.34;0.48;48.02;-0.19;-0.65;0.48;45.99;-0.36;-0.22
0.5;44.95;0.23;0.01;0.5;47.62;-0.2;-0.55;0.5;45.27;-0.37;-0.11
0.52;45.41;0.23;-0.21;0.52;47.21;-0.21;-0.42;0.52;44.53;-0.37;0.01
0.54;45.86;0.22;-0.32;0.54;46.78;-0.22;-0.54;0.54;43.8;-0.37;-0.11
0.56;46.29;0.22;-0.31;0.56;46.33;-0.23;-0.55;0.56;43.06;-0.37;-0.12
0.58;46.72;0.21;-0.43;0.58;45.85;-0.24;-0.32;0.58;42.32;-0.37;0.1
0.6;47.12;0.2;-0.44;0.6;45.37;-0.24;-0.32;0.6;41.58;-0.37;0.22
0.62;47.52;0.19;-0.33;0.62;44.87;-0.25;-0.33;0.62;40.86;-0.36;0.11
0.64;47.88;0.19;-0.2;0.64;44.36;-0.26;-0.22;0.64;40.14;-0.36;0.1
0.66;48.26;0.18;-0.42;0.66;43.84;-0.26;-0.11;0.66;39.41;-0.36;0.21
0.68;48.6;0.17;-0.54;0.68;43.31;-0.26;0.01;0.68;38.71;-0.35;0.31
