4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,000	0,000	33,96	48,46							0,000	56,16		
0,020	0,020	0,020	34,25	48,79	0,15	0,16	0,00				0,020	55,89	-0,14	
0,040	0,040	0,040	34,57	49,10	0,17	0,15	-0,02	0,65	-0,54	-3,17	0,040	55,60	-0,15	-0,53
0,060	0,060	0,060	34,91	49,38	0,18	0,14	-0,12	0,55	-0,51	-1,35	0,060	55,29	-0,16	-0,65
0,080	0,080	0,080	35,29	49,66	0,19	0,13	-0,07	0,32	-0,86	2,55	0,080	54,95	-0,18	-0,55
0,100	0,100	0,100	35,67	49,88	0,19	0,10	-0,02	0,32	-0,87	-1,33	0,100	54,59	-0,18	-0,42
0,120	0,120	0,120	36,06	50,07	0,20	0,09	-0,13	0,33	-0,74	-2,42	0,120	54,21	-0,19	-0,54
0,140	0,140	0,140	36,48	50,25	0,21	0,07	-0,12	0,21	-0,86	-0,26	0,140	53,82	-0,21	-0,55
0,160	0,160	0,160	36,89	50,37	0,21	0,06	-0,14	0,32	-0,86	-1,07	0,160	53,39	-0,21	-0,43
0,180	0,180	0,180	37,32	50,48	0,22	0,04	-0,16	0,44	-0,86	-1,19	0,180	52,96	-0,22	-0,44
0,200	0,200	0,200	37,76	50,53	0,23	0,02	-0,18	0,33	-0,86	-1,14	0,200	52,50	-0,23	-0,32
0,220	0,220	0,220	38,23	50,57	0,23	0,01	-0,21	0,21	-0,86	-0,09	0,220	52,03	-0,24	-0,32
0,240	0,240	0,240	38,69	50,55	0,24	-0,01	-0,19	0,22	-0,86	-1,70	0,240	51,55	-0,24	-0,33
0,260	0,260	0,260	39,17	50,52	0,24	-0,03	-0,28	0,11	-0,87	-3,72	0,260	51,05	-0,25	-0,21
0,280	0,280	0,280	39,65	50,44	0,24	-0,05	-0,34	0,11	-0,75	0,04	0,280	50,55	-0,25	-0,32
0,300	0,300	0,300	40,13	50,34	0,24	-0,06	-0,27	0,12	-0,75	1,19	0,300	50,04	-0,26	-0,34
0,320	0,320	0,320	40,63	50,20	0,25	-0,08	-0,29	-0,11	-0,87	-1,95	0,320	49,51	-0,27	-0,11
0,340	0,340	0,340	41,11	50,03	0,24	-0,09	-0,35	-0,01	-0,75	-1,90	0,340	48,97	-0,27	-0,10
0,360	0,360	0,360	41,59	49,83	0,24	-0,11	-0,36	0,12	-0,75	0,64	0,360	48,44	-0,27	-0,22
