4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	33,96			0,000	48,46			0,000	56,24		
0,020	34,25	0,15		0,020	48,79	0,16		0,020	56,28	0,00	
0,040	34,57	0,17	0,65	0,040	49,10	0,15	-0,54	0,040	56,25	-0,02	-3,17
0,060	34,91	0,18	0,55	0,060	49,38	0,14	-0,51	0,060	56,21	-0,12	-1,35
0,080	35,29	0,19	0,32	0,080	49,66	0,13	-0,86	0,080	55,75	-0,07	2,55
0,100	35,67	0,19	0,32	0,100	49,88	0,10	-0,87	0,100	55,92	-0,02	-1,33
0,120	36,06	0,20	0,33	0,120	50,07	0,09	-0,74	0,120	55,66	-0,13	-2,42
0,140	36,48	0,21	0,21	0,140	50,25	0,07	-0,86	0,140	55,42	-0,12	-0,26
0,160	36,89	0,21	0,32	0,160	50,37	0,06	-0,86	0,160	55,19	-0,14	-1,07
0,180	37,32	0,22	0,44	0,180	50,48	0,04	-0,86	0,180	54,88	-0,16	-1,19
0,200	37,76	0,23	0,33	0,200	50,53	0,02	-0,86	0,200	54,54	-0,18	-1,14
0,220	38,23	0,23	0,21	0,220	50,57	0,01	-0,86	0,220	54,15	-0,21	-0,09
0,240	38,69	0,24	0,22	0,240	50,55	-0,01	-0,86	0,240	53,71	-0,19	-1,70
0,260	39,17	0,24	0,11	0,260	50,52	-0,03	-0,87	0,260	53,40	-0,28	-3,72
0,280	39,65	0,24	0,11	0,280	50,44	-0,05	-0,75	0,280	52,61	-0,34	0,04
0,300	40,13	0,24	0,12	0,300	50,34	-0,06	-0,75	0,300	52,05	-0,27	1,19
0,320	40,63	0,25	-0,11	0,320	50,20	-0,08	-0,87	0,320	51,51	-0,29	-1,95
0,340	41,11	0,24	-0,01	0,340	50,03	-0,09	-0,75	0,340	50,90	-0,35	-1,90
0,360	41,59	0,24	0,12	0,360	49,83	-0,11	-0,75	0,360	50,10	-0,36	0,64
0,380	42,09	0,25	-0,11	0,380	49,61	-0,12	-0,87	0,380	49,45	-0,33	0,84
0,400	42,57	0,24	-0,12	0,400	49,33	-0,14	-0,76	0,400	48,79	-0,33	-0,42
0,420	43,06	0,24	0,11	0,420	49,04	-0,15	-0,65	0,420	48,12	-0,34	-0,55
0,440	43,54	0,25	0,03	0,440	48,72	-0,17	-0,54	0,440	47,42	-0,35	-0,33
0,460	44,04	0,24	-0,44	0,460	48,37	-0,18	-0,53	0,460	46,71	-0,36	-0,22
0,480	44,50	0,23	-0,34	0,480	48,02	-0,19	-0,65	0,480	45,99	-0,36	-0,22
0,500	44,95	0,23	0,01	0,500	47,62	-0,20	-0,55	0,500	45,27	-0,37	-0,11
0,520	45,41	0,23	-0,21	0,520	47,21	-0,21	-0,42	0,520	44,53	-0,37	0,01
0,540	45,86	0,22	-0,32	0,540	46,78	-0,22	-0,54	0,540	43,80	-0,37	-0,11
0,560	46,29	0,22	-0,31	0,560	46,33	-0,23	-0,55	0,560	43,06	-0,37	-0,12
0,580	46,72	0,21	-0,43	0,580	45,85	-0,24	-0,32	0,580	42,32	-0,37	0,10
