FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0,01	0,01	3,31E-4	0,00	0,000	99,68	99,75	-0,07							24,5	0,000	98,45	99,76	-1,31							24,6
0,04	0,04	3,07E-4	0,00	0,020				0,035			8,2500E-4				0,020				-1,293			-0,0309			
0,06	0,06	6,83E-4	0,00	0,040				0,019	-1,021		4,5000E-4	-0,024			0,040				-1,630	-14,098		-0,0389	-0,337		
0,09	0,09	2,79E-4	0,00	0,050	99,64	99,75	-0,12								0,050	98,41	99,76	-1,35							
0,11	0,11	3,12E-4	0,00	0,060				-0,006	-1,532	-25,525	-1,5000E-4	-0,037	-0,609		0,060				-1,857	-8,011	323,977	-0,0443	-0,191	7,734	
0,13	0,13	2,36E-4	0,00	0,080				-0,042	-2,042	-23,562	-0,0010	-0,049	-0,562		0,080				-1,951	-1,139	350,484	-0,0466	-0,027	8,367	
0,16	0,16	4,06E-4	0,00	0,100	99,58	99,75	-0,17	-0,088	-2,474	-21,598	-0,0021	-0,059	-0,516	24,5	0,100	99,51	99,76	-0,25	-1,902	6,008	341,648	-0,0454	0,143	8,156	24,6
0,18	0,18	2,58E-4	0,00	0,120				-0,141	-2,906	-21,598	-0,0034	-0,069	-0,516		0,120				-1,711	12,527	283,725	-0,0408	0,299	6,773	
0,21	0,21	1,84E-4	0,00	0,140				-0,204	-3,338	-18,653	-0,0049	-0,080	-0,445		0,140				-1,401	17,357	178,678	-0,0335	0,414	4,266	
0,23	0,23	1,40E-4	0,00	0,150	99,56	99,76	-0,20								0,150	100,41	99,76	0,65							
0,26	0,26	2,34E-4	0,00	0,160				-0,275	-3,652	-12,763	-0,0066	-0,087	-0,305		0,160				-1,016	19,674	37,306	-0,0243	0,470	0,891	
0,28	0,28	2,96E-4	0,00	0,180				-0,350	-3,848	-11,781	-0,0084	-0,092	-0,281		0,180				-0,614	18,850	-119,773	-0,0147	0,450	-2,859	
0,31	0,31	2,92E-4	0,00	0,200	99,53	99,76	-0,23	-0,429	-4,123	-13,744	-0,0102	-0,098	-0,328	24,6	0,200	101,15	99,76	1,39	-0,262	14,883	-262,127	-0,0063	0,355	-6,258	24,6
0,33	0,33	3,98E-4	0,00	0,220				-0,515	-4,398	-9,817	-0,0123	-0,105	-0,234		0,220				-0,019	8,364	-360,302	-4,5000E-4	0,200	-8,602	
0,35	0,35	2,93E-4	0,00	0,240				-0,605	-4,516	-6,872	-0,0144	-0,108	-0,164		0,240				0,072	0,471	-400,553	0,0017	0,011	-9,562	
0,38	0,38	2,14E-4	0,00	0,250	99,49	99,75	-0,26								0,250	99,84	99,76	0,08							
0,40	0,40	2,03E-4	0,00	0,260				-0,696	-4,673	-6,872	-0,0166	-0,112	-0,164		0,260				3,053E-16	-7,658	-375,028	-6,0715E-18	-0,183	-8,953	
0,43	0,43	1,90E-4	0,00	0,280				-0,792	-4,791	-1,963	-0,0189	-0,114	-0,047		0,280				-0,234	-14,530	-276,853	-0,0056	-0,347	-6,609	
