	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
	0,000	133,12	99,77	33,35							-26,5
	0,100	163,88	99,77	64,11	1,224			0,0292			-26,5
	0,200	96,19	99,77	-3,58	1,736	-5,898		0,0414	-0,141		-26,4
	0,300	118,18	99,77	18,41	0,044	-3,149	76,812	0,0011	-0,075	1,834	-26,4
	0,400	167,02	99,78	67,25	1,106	9,464	-7,304	0,0264	0,226	-0,174	-26,4
	0,500	105,92	99,77	6,15	1,937	-4,610	-72,964	0,0462	-0,110	-1,742	-26,4
	0,600	119,76	99,77	19,99	0,184	-5,129	67,741	0,0044	-0,122	1,617	-26,4
	0,700	172,64	99,78	72,86	0,911	8,938	9,111	0,0218	0,213	0,217	-26,4
	0,800	102,69	99,77	2,92	1,971	-3,307	-74,220	0,0471	-0,079	-1,772	-26,4
	0,900	107,31	99,77	7,54	0,250	-5,906	60,358	0,0060	-0,141	1,441	-26,4
	1,000	172,73	99,77	72,95	0,790	8,765	18,928	0,0189	0,209	0,452	-26,4
	1,100	115,81	99,77	16,04	2,003	-2,121	-77,715	0,0478	-0,051	-1,855	-26,4
	1,200	110,06	99,77	10,29	0,366	-6,778	51,640	0,0087	-0,162	1,233	-26,4
	1,300	172,21	99,77	72,44	0,647	8,207	29,963	0,0155	0,196	0,715	-26,4
	1,400	112,47	99,77	12,70	2,007	-0,785	-78,265	0,0479	-0,019	-1,868	-26,4
	1,500	113,28	99,77	13,51	0,490	-7,446	41,744	0,0117	-0,178	0,997	-26,4
	1,600	171,92	99,77	72,15	0,518	7,563	39,780	0,0124	0,181	0,950	-26,4
	1,700	109,23	99,77	9,47	2,003	0,511	-77,990	0,0478	0,012	-1,862	-26,3
	1,800	102,60	99,76	2,84	0,620	-8,035	31,455	0,0148	-0,192	0,751	-26,3
	1,900	173,60	99,77	73,83	0,396	6,802	49,323	0,0095	0,162	1,178	-26,3
	2,000	125,25	99,77	25,49	1,981	1,830	-76,301	0,0473	0,044	-1,822	-26,3
	2,100	104,94	99,77	5,17	0,762	-8,459	20,460	0,0182	-0,202	0,488	-26,3
	2,200	163,98	99,78	64,20	0,289	5,922	57,727	0,0069	0,141	1,378	-26,2
	2,300	121,16	99,77	21,39	1,946	3,087	-73,238	0,0465	0,074	-1,748	-26,2
	2,400	98,22	99,77	-1,55	0,906	-8,726	9,189	0,0216	-0,208	0,219	-26,2
	2,500	167,57	99,78	67,79	0,201	4,924	65,110	0,0048	0,118	1,554	-26,2
	2,600	140,33	99,77	40,56	1,891	4,296	-68,801	0,0452	0,103	-1,642	-26,1
	2,700	99,50	99,77	-0,27	1,060	-8,836	-2,278	0,0253	-0,211	-0,054	-26,1
	2,800	151,94	99,77	52,17	0,124	3,841	71,314	0,0030	0,092	1,702	-26,1
