X	Y
0.000000	1.000000
0.003922	0.920269
0.007843	0.915413
0.011765	0.906638
0.015686	0.893308
0.019608	0.886782
0.023529	0.869718
0.027451	0.858899
0.031373	0.846074
0.035294	0.826878
0.039216	0.808140
0.043137	0.793249
0.047059	0.778174
0.050980	0.760414
0.054902	0.744422
0.058824	0.731707
0.062745	0.721342
0.066667	0.703615
0.070588	0.699453
0.074510	0.692092
0.078431	0.681932
0.082353	0.667016
0.086275	0.655193
0.090196	0.653921
0.094118	0.638720
0.098039	0.632103
0.101961	0.620552
0.105882	0.612609
0.109804	0.605593
0.113725	0.600403
0.117647	0.589854
0.121569	0.584817
0.125490	0.575376
0.129412	0.564203
0.133333	0.552038
0.137255	0.540096
0.141176	0.532643
0.145098	0.524789
0.149020	0.521601
0.152941	0.500964
0.156863	0.492711
0.160784	0.489335
0.164706	0.475919
0.168627	0.468602
0.172549	0.454956
0.176471	0.443592
0.180392	0.431393
0.184314	0.415117
0.188235	0.406434
0.192157	0.399708
0.196078	0.382028
0.200000	0.378073
0.203922	0.367591
0.207843	0.353036
0.211765	0.340863
0.215686	0.326098
0.219608	0.318554
0.223529	0.306389
0.227451	0.296273
0.231373	0.282535
0.235294	0.271637
0.239216	0.267280
0.243137	0.250800
0.247059	0.241165
0.250980	0.230837
0.254902	0.213446
0.258824	0.201680
0.262745	0.188386
0.266667	0.178276
0.270588	0.172301
0.274510	0.165119
0.278431	0.154932
0.282353	0.145176
0.286275	0.135766
0.290196	0.124406
0.294118	0.120111
0.298039	0.107665
0.301961	0.100847
0.305882	0.095881
0.309804	0.085021
0.313726	0.085498
0.317647	0.075080
0.321569	0.071928
0.325490	0.066321
0.329412	0.057707
0.333333	0.057216
0.337255	0.052228
0.341176	0.046712
0.345098	0.038889
0.349020	0.041209
0.352941	0.035227
0.356863	0.033723
0.360784	0.032005
0.364706	0.027178
0.368627	0.026819
0.372549	0.023389
0.376471	0.022709
0.380392	0.017837
0.384314	0.017324
0.388235	0.017917
0.392157	0.016503
0.396078	0.017083
0.400000	0.017029
0.403922	0.013724
0.407843	0.015305
0.411765	0.015250
0.415686	0.017451
0.419608	0.018623
0.423529	0.017971
0.427451	0.015674
0.431373	0.019355
0.435294	0.016643
0.439216	0.017779
0.443137	0.017398
0.447059	0.016447
0.450980	0.014825
0.454902	0.014824
0.458824	0.018394
0.462745	0.017043
0.466667	0.018214
0.470588	0.016297
0.474510	0.018869
0.478431	0.017269
0.482353	0.016448
0.486275	0.017308
0.490196	0.016461
0.494118	0.016329
0.498039	0.015411
0.501961	0.017297
0.505882	0.015587
0.509804	0.015237
0.513726	0.015614
0.517647	0.015867
0.521569	0.014942
0.525490	0.014732
0.529412	0.015769
0.533333	0.014250
0.537255	0.014867
0.541176	0.014131
0.545098	0.014899
0.549020	0.012891
0.552941	0.011625
0.556863	0.013237
0.560784	0.012869
0.564706	0.013404
0.568627	0.011832
0.572549	0.014207
0.576471	0.012308
0.580392	0.013291
0.584314	0.013353
0.588235	0.013926
0.592157	0.013306
0.596078	0.013444
0.600000	0.012725
0.603922	0.013361
0.607843	0.014191
0.611765	0.013971
0.615686	0.014186
0.619608	0.014266
0.623529	0.014263
0.627451	0.016228
0.631373	0.016111
0.635294	0.017257
0.639216	0.016916
0.643137	0.018412
0.647059	0.018337
0.650980	0.018510
0.654902	0.019532
0.658824	0.018804
0.662745	0.020384
0.666667	0.021349
0.670588	0.021793
0.674510	0.021390
0.678431	0.022936
0.682353	0.023324
0.686275	0.023135
0.690196	0.024594
0.694118	0.023830
0.698039	0.025194
0.701961	0.025031
0.705882	0.025908
0.709804	0.026921
0.713726	0.026632
0.717647	0.027434
0.721569	0.028080
0.725490	0.028208
0.729412	0.028834
0.733333	0.028331
0.737255	0.028185
0.741176	0.028345
0.745098	0.028942
0.749020	0.028985
0.752941	0.029869
0.756863	0.029465
0.760784	0.029308
0.764706	0.029263
0.768627	0.028478
0.772549	0.028080
0.776471	0.027972
0.780392	0.027462
0.784314	0.027143
0.788235	0.026375
0.792157	0.026180
0.796078	0.025489
0.800000	0.025267
0.803922	0.024463
0.807843	0.023600
0.811765	0.023106
0.815686	0.022427
0.819608	0.021668
0.823529	0.021269
0.827451	0.020617
0.831373	0.019985
0.835294	0.019289
0.839216	0.018513
0.843137	0.017827
0.847059	0.017117
0.850980	0.016360
0.854902	0.016058
0.858824	0.015101
0.862745	0.014694
0.866667	0.013932
0.870588	0.013642
0.874510	0.013065
0.878431	0.012718
0.882353	0.012119
0.886275	0.011821
0.890196	0.011364
0.894118	0.011116
0.898039	0.010704
0.901961	0.010562
0.905882	0.010165
0.909804	0.010118
0.913725	0.009818
0.917647	0.009811
0.921569	0.009563
0.925490	0.009553
0.929412	0.009341
0.933333	0.009388
0.937255	0.009215
0.941176	0.009287
0.945098	0.009134
0.949020	0.009232
0.952941	0.009083
0.956863	0.009186
0.960784	0.009047
0.964706	0.009151
0.968627	0.009024
0.972549	0.009133
0.976471	0.009009
0.980392	0.009124
0.984314	0.009003
0.988235	0.009120
0.992157	0.009000
0.996078	0.009119
1.000000	0.009000
