X	Y
0.000000	1.000000
0.003922	0.915989
0.007843	0.912599
0.011765	0.905936
0.015686	0.901763
0.019608	0.897330
0.023529	0.885362
0.027451	0.878443
0.031373	0.878013
0.035294	0.863290
0.039216	0.857071
0.043137	0.848889
0.047059	0.843475
0.050980	0.837727
0.054902	0.820207
0.058824	0.815885
0.062745	0.804134
0.066667	0.789307
0.070588	0.785905
0.074510	0.774167
0.078431	0.766448
0.082353	0.754654
0.086275	0.744504
0.090196	0.742349
0.094118	0.725449
0.098039	0.720635
0.101961	0.713059
0.105882	0.700344
0.109804	0.691900
0.113725	0.687917
0.117647	0.684426
0.121569	0.674196
0.125490	0.661123
0.129412	0.657396
0.133333	0.649557
0.137255	0.633602
0.141176	0.630471
0.145098	0.618272
0.149020	0.612510
0.152941	0.592541
0.156863	0.587027
0.160784	0.579239
0.164706	0.566714
0.168627	0.551992
0.172549	0.539841
0.176471	0.535206
0.180392	0.520015
0.184314	0.510216
0.188235	0.495375
0.192157	0.488949
0.196078	0.472231
0.200000	0.468112
0.203922	0.455722
0.207843	0.441276
0.211765	0.424585
0.215686	0.411325
0.219608	0.401369
0.223529	0.388576
0.227451	0.377310
0.231373	0.368013
0.235294	0.349421
0.239216	0.343528
0.243137	0.323906
0.247059	0.319018
0.250980	0.308686
0.254902	0.290918
0.258824	0.279335
0.262745	0.266611
0.266667	0.257172
0.270588	0.242101
0.274510	0.234910
0.278431	0.224354
0.282353	0.218195
0.286275	0.203381
0.290196	0.195475
0.294118	0.179065
0.298039	0.170292
0.301961	0.165271
0.305882	0.158614
0.309804	0.149034
0.313726	0.144522
0.317647	0.135048
0.321569	0.125727
0.325490	0.117613
0.329412	0.107813
0.333333	0.103967
0.337255	0.097012
0.341176	0.089345
0.345098	0.078379
0.349020	0.081862
0.352941	0.073922
0.356863	0.067619
0.360784	0.059832
0.364706	0.058297
0.368627	0.054962
0.372549	0.049039
0.376471	0.041528
0.380392	0.037928
0.384314	0.033712
0.388235	0.030970
0.392157	0.027976
0.396078	0.026747
0.400000	0.025011
0.403922	0.023430
0.407843	0.021624
0.411765	0.019132
0.415686	0.019412
0.419608	0.017382
0.423529	0.019179
0.427451	0.015640
0.431373	0.017069
0.435294	0.014435
0.439216	0.014891
0.443137	0.016490
0.447059	0.015598
0.450980	0.016350
0.454902	0.016166
0.458824	0.019281
0.462745	0.018016
0.466667	0.020049
0.470588	0.017758
0.474510	0.019608
0.478431	0.019606
0.482353	0.016800
0.486275	0.019046
0.490196	0.018044
0.494118	0.018580
0.498039	0.019506
0.501961	0.017530
0.505882	0.019582
0.509804	0.020625
0.513726	0.017933
0.517647	0.019571
0.521569	0.018279
0.525490	0.019277
0.529412	0.020609
0.533333	0.017524
0.537255	0.019824
0.541176	0.018527
0.545098	0.019847
0.549020	0.018269
0.552941	0.018316
0.556863	0.018095
0.560784	0.019226
0.564706	0.018971
0.568627	0.018219
0.572549	0.019736
0.576471	0.019182
0.580392	0.021224
0.584314	0.020164
0.588235	0.021242
0.592157	0.020769
0.596078	0.021878
0.600000	0.022198
0.603922	0.022684
0.607843	0.022894
0.611765	0.022969
0.615686	0.023807
0.619608	0.024363
0.623529	0.025356
0.627451	0.026453
0.631373	0.028498
0.635294	0.029781
0.639216	0.029708
0.643137	0.029798
0.647059	0.031201
0.650980	0.032620
0.654902	0.033423
0.658824	0.031524
0.662745	0.034027
0.666667	0.034908
0.670588	0.035755
0.674510	0.035555
0.678431	0.036908
0.682353	0.037500
0.686275	0.038273
0.690196	0.039136
0.694118	0.038660
0.698039	0.039450
0.701961	0.039203
0.705882	0.038940
0.709804	0.039362
0.713726	0.040849
0.717647	0.040487
0.721569	0.041488
0.725490	0.040693
0.729412	0.041103
0.733333	0.040273
0.737255	0.040883
0.741176	0.040550
0.745098	0.040698
0.749020	0.040369
0.752941	0.040835
0.756863	0.040117
0.760784	0.039123
0.764706	0.039221
0.768627	0.038380
0.772549	0.038212
0.776471	0.037574
0.780392	0.036807
0.784314	0.036158
0.788235	0.035270
0.792157	0.034657
0.796078	0.034141
0.800000	0.033547
0.803922	0.032605
0.807843	0.031360
0.811765	0.030639
0.815686	0.029654
0.819608	0.028893
0.823529	0.027895
0.827451	0.027278
0.831373	0.026190
0.835294	0.025397
0.839216	0.024675
0.843137	0.023863
0.847059	0.023129
0.850980	0.022187
0.854902	0.021677
0.858824	0.020749
0.862745	0.020233
0.866667	0.019338
0.870588	0.018876
0.874510	0.018236
0.878431	0.017689
0.882353	0.017129
0.886275	0.016737
0.890196	0.016257
0.894118	0.015960
0.898039	0.015583
0.901961	0.015359
0.905882	0.014958
0.909804	0.014883
0.913725	0.014607
0.917647	0.014564
0.921569	0.014333
0.925490	0.014294
0.929412	0.014124
0.933333	0.014121
0.937255	0.013982
0.941176	0.014013
0.945098	0.013895
0.949020	0.013939
0.952941	0.013832
0.956863	0.013889
0.960784	0.013796
0.964706	0.013860
0.968627	0.013778
0.972549	0.013847
0.976471	0.013767
0.980392	0.013843
0.984314	0.013764
0.988235	0.013840
0.992157	0.013763
0.996078	0.013840
1.000000	0.013762
