X	Y
0.000000	1.000000
0.003922	0.921046
0.007843	0.909560
0.011765	0.896285
0.015686	0.883989
0.019608	0.867663
0.023529	0.849494
0.027451	0.829797
0.031373	0.817715
0.035294	0.789367
0.039216	0.769730
0.043137	0.743543
0.047059	0.728641
0.050980	0.707078
0.054902	0.684964
0.058824	0.667984
0.062745	0.656926
0.066667	0.640885
0.070588	0.623762
0.074510	0.615588
0.078431	0.604327
0.082353	0.589226
0.086275	0.572787
0.090196	0.557610
0.094118	0.547950
0.098039	0.536403
0.101961	0.527548
0.105882	0.513551
0.109804	0.508595
0.113725	0.491681
0.117647	0.481508
0.121569	0.467345
0.125490	0.452823
0.129412	0.445475
0.133333	0.431097
0.137255	0.411328
0.141176	0.403252
0.145098	0.394432
0.149020	0.383736
0.152941	0.361175
0.156863	0.352459
0.160784	0.340329
0.164706	0.329223
0.168627	0.318820
0.172549	0.301872
0.176471	0.288805
0.180392	0.275514
0.184314	0.260074
0.188235	0.245390
0.192157	0.236600
0.196078	0.220441
0.200000	0.214214
0.203922	0.204305
0.207843	0.191504
0.211765	0.177822
0.215686	0.165437
0.219608	0.155795
0.223529	0.149831
0.227451	0.134561
0.231373	0.129849
0.235294	0.123208
0.239216	0.113986
0.243137	0.108441
0.247059	0.101211
0.250980	0.099514
0.254902	0.087171
0.258824	0.079504
0.262745	0.077523
0.266667	0.070452
0.270588	0.070840
0.274510	0.069037
0.278431	0.059964
0.282353	0.062099
0.286275	0.058348
0.290196	0.051864
0.294118	0.050044
0.298039	0.046449
0.301961	0.045097
0.305882	0.047473
0.309804	0.042622
0.313726	0.039349
0.317647	0.040358
0.321569	0.037277
0.325490	0.033015
0.329412	0.031596
0.333333	0.029761
0.337255	0.028712
0.341176	0.026755
0.345098	0.020716
0.349020	0.019255
0.352941	0.024564
0.356863	0.019242
0.360784	0.016777
0.364706	0.016178
0.368627	0.014207
0.372549	0.016786
0.376471	0.012885
0.380392	0.013322
0.384314	0.011454
0.388235	0.011991
0.392157	0.010903
0.396078	0.007680
0.400000	0.007941
0.403922	0.008200
0.407843	0.008506
0.411765	0.006763
0.415686	0.003452
0.419608	0.008064
0.423529	0.009596
0.427451	0.008131
0.431373	0.008796
0.435294	0.004553
0.439216	0.005696
0.443137	0.007722
0.447059	0.007543
0.450980	0.006020
0.454902	0.005324
0.458824	0.006159
0.462745	0.006225
0.466667	0.003907
0.470588	0.006128
0.474510	0.003736
0.478431	0.003905
0.482353	0.003851
0.486275	0.004248
0.490196	0.002461
0.494118	0.003560
0.498039	0.002605
0.501961	0.002372
0.505882	0.002124
0.509804	0.000683
0.513726	0.001928
0.517647	0.001879
0.521569	0.001111
0.525490	0.001641
0.529412	0.001416
0.533333	0.001456
0.537255	0.001569
0.541176	0.001373
0.545098	0.002789
0.549020	0.001915
0.552941	0.002086
0.556863	0.003100
0.560784	0.004323
0.564706	0.003128
0.568627	0.002204
0.572549	0.003829
0.576471	0.004792
0.580392	0.005356
0.584314	0.005562
0.588235	0.004240
0.592157	0.004280
0.596078	0.005902
0.600000	0.006495
0.603922	0.005580
0.607843	0.006267
0.611765	0.007429
0.615686	0.007496
0.619608	0.007764
0.623529	0.008562
0.627451	0.008054
0.631373	0.009498
0.635294	0.008495
0.639216	0.009002
0.643137	0.009305
0.647059	0.009754
0.650980	0.011391
0.654902	0.009613
0.658824	0.009793
0.662745	0.011293
0.666667	0.011698
0.670588	0.011814
0.674510	0.011873
0.678431	0.012112
0.682353	0.012812
0.686275	0.013311
0.690196	0.012716
0.694118	0.013165
0.698039	0.013756
0.701961	0.013004
0.705882	0.012858
0.709804	0.013236
0.713726	0.013115
0.717647	0.013861
0.721569	0.013903
0.725490	0.013250
0.729412	0.014013
0.733333	0.013689
0.737255	0.013055
0.741176	0.013588
0.745098	0.013156
0.749020	0.013615
0.752941	0.014177
0.756863	0.013795
0.760784	0.013850
0.764706	0.013650
0.768627	0.013803
0.772549	0.013682
0.776471	0.013301
0.780392	0.013973
0.784314	0.013441
0.788235	0.013572
0.792157	0.013633
0.796078	0.013812
0.800000	0.013690
0.803922	0.013425
0.807843	0.013012
0.811765	0.013109
0.815686	0.012777
0.819608	0.012759
0.823529	0.012531
0.827451	0.012416
0.831373	0.012085
0.835294	0.011924
0.839216	0.011408
0.843137	0.011088
0.847059	0.010665
0.850980	0.010256
0.854902	0.010045
0.858824	0.009667
0.862745	0.009212
0.866667	0.008779
0.870588	0.008515
0.874510	0.008210
0.878431	0.007758
0.882353	0.007524
0.886275	0.007158
0.890196	0.006922
0.894118	0.006584
0.898039	0.006339
0.901961	0.006036
0.905882	0.005826
0.909804	0.005611
0.913725	0.005507
0.917647	0.005317
0.921569	0.005281
0.925490	0.005081
0.929412	0.005043
0.933333	0.004905
0.937255	0.004926
0.941176	0.004810
0.945098	0.004850
0.949020	0.004759
0.952941	0.004801
0.956863	0.004723
0.960784	0.004770
0.964706	0.004696
0.968627	0.004751
0.972549	0.004681
0.976471	0.004737
0.980392	0.004674
0.984314	0.004733
0.988235	0.004670
0.992157	0.004731
0.996078	0.004670
1.000000	0.004731
