Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit22 (s)	Winkel22 (rad)	Winkelgeschwindigkeit22 (rad/s)	Winkelbeschleunigung22 (rad/s²)	Position22 (m)	Geschwindigkeit22 (m/s)	Beschleunigung22 (m/s²)	Beleuchtungsstärke22 (lux)	Relative Intensität22	Zeit3 (s)	Winkel3 (rad)	Winkelgeschwindigkeit3 (rad/s)	Winkelbeschleunigung3 (rad/s²)	Position3 (m)	Geschwindigkeit3 (m/s)	Beschleunigung3 (m/s²)	Beleuchtungsstärke3 (lux)	Relative Intensität3	Zeit23 (s)	Winkel23 (rad)	Winkelgeschwindigkeit23 (rad/s)	Winkelbeschleunigung23 (rad/s²)	Position23 (m)	Geschwindigkeit23 (m/s)	Beschleunigung23 (m/s²)	Beleuchtungsstärke23 (lux)	Relative Intensität23	Zeit222 (s)	Winkel222 (rad)	Winkelgeschwindigkeit222 (rad/s)	Winkelbeschleunigung222 (rad/s²)	Position222 (m)	Geschwindigkeit222 (m/s)	Beschleunigung222 (m/s²)	Beleuchtungsstärke222 (lux)	Relative Intensität222	Zeit32 (s)	Winkel32 (rad)	Winkelgeschwindigkeit32 (rad/s)	Winkelbeschleunigung32 (rad/s²)	Position32 (m)	Geschwindigkeit32 (m/s)	Beschleunigung32 (m/s²)	Beleuchtungsstärke32 (lux)	Relative Intensität32	Zeit4 (s)	Winkel4 (rad)	Winkelgeschwindigkeit4 (rad/s)	Winkelbeschleunigung4 (rad/s²)	Position4 (m)	Geschwindigkeit4 (m/s)	Beschleunigung4 (m/s²)	Beleuchtungsstärke4 (lux)	Relative Intensität4	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,1	8,70E-4	0,000							0,1	8,70E-4	0,000							0,1	8,85E-4	0,000							0,1	8,70E-4	0,000							0,1	8,70E-4	0,000							0,1	8,85E-4	0,000							0,1	8,24E-4	0,000							0,1	6,10E-4
0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,1	8,85E-4	0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,1	8,85E-4	0,050	-0,008			-1,8750E-4			0,1	8,24E-4	0,050	0,000			0,0000			0,1	6,26E-4
0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,85E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,85E-4	0,100	0,005	0,126		1,1250E-4	0,003		0,1	8,24E-4	0,100	0,000	0,000		0,0000	0,000		0,1	6,26E-4
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,150	0,005	-0,031	-1,885	1,1250E-4	-7,500E-4	-0,045	0,1	8,24E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,26E-4
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,200	0,002	-0,063	-0,471	3,7500E-5	-0,002	-0,011	0,1	8,24E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,10E-4
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,250	-0,002	-0,079	0,314	-3,7500E-5	-0,002	0,008	0,1	8,24E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,26E-4
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,300	-0,006	-0,031	1,100	-1,5000E-4	-7,500E-4	0,026	0,1	8,09E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,26E-4
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,350	-0,005	0,031	0,628	-1,1250E-4	7,500E-4	0,015	0,1	8,09E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,41E-4
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,400	-0,003	0,031	0,157	-7,5000E-5	7,500E-4	0,004	0,1	8,24E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,450	-0,002	0,047	0,628	-3,7500E-5	0,001	0,015	0,1	8,24E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,85E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,85E-4	0,500	0,002	0,094	0,785	3,7500E-5	0,002	0,019	0,1	8,39E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	8,85E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	8,85E-4	0,550	0,008	0,126	-0,157	1,8750E-4	0,003	-0,004	0,1	8,39E-4	0,550	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
