Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,1	8,70E-4
0,050	0,000			0,0000			0,1	8,54E-4
0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4
0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4
0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4
0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4
0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4
0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4
1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4
1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4
1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4
1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4
1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4
1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4
1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4
1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4
1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4
1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4
1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4
1,550	-0,041	-0,157	-0,471	-9,7500E-4	-0,004	-0,011	0,1	8,70E-4
1,600	-0,052	-0,157	0,628	-0,0012	-0,004	0,015	0,1	8,70E-4
1,650	-0,057	-0,094	1,100	-0,0013	-0,002	0,026	0,1	8,70E-4
1,700	-0,061	-0,047	0,628	-0,0015	-0,001	0,015	0,1	8,70E-4
1,750	-0,061	-0,031	-0,314	-0,0015	-7,500E-4	-0,008	0,1	8,85E-4
1,800	-0,064	-0,079	-1,100	-0,0015	-0,002	-0,026	0,1	8,70E-4
1,850	-0,069	-0,141	-0,628	-0,0016	-0,003	-0,015	0,1	8,85E-4
1,900	-0,079	-0,141	-0,157	-0,0019	-0,003	-0,004	0,1	9,16E-4
1,950	-0,083	-0,157	-0,628	-0,0020	-0,004	-0,015	0,1	9,00E-4
2,000	-0,094	-0,204	0,942	-0,0022	-0,005	0,023	0,1	8,85E-4
2,050	-0,104	-0,063	1,885	-0,0025	-0,001	0,045	0,1	9,16E-4
2,100	-0,101	-0,016	-0,471	-0,0024	-3,750E-4	-0,011	0,1	9,16E-4
2,150	-0,105	-0,110	-1,414	-0,0025	-0,003	-0,034	0,1	9,00E-4
2,200	-0,112	-0,157	-1,257	-0,0027	-0,004	-0,030	0,1	9,00E-4
2,250	-0,121	-0,236	-0,785	-0,0029	-0,006	-0,019	0,1	9,00E-4
2,300	-0,135	-0,236	1,257	-0,0032	-0,006	0,030	0,1	9,00E-4
2,350	-0,145	-0,110	2,042	-0,0035	-0,003	0,049	0,1	9,00E-4
2,400	-0,146	-0,031	0,785	-0,0035	-7,500E-4	0,019	0,1	9,16E-4
2,450	-0,148	-0,031	-1,100	-0,0035	-7,500E-4	-0,026	0,1	9,16E-4
2,500	-0,149	-0,141	-2,199	-0,0036	-0,003	-0,053	0,1	9,31E-4
2,550	-0,162	-0,251	-0,942	-0,0039	-0,006	-0,022	0,1	9,00E-4
2,600	-0,174	-0,236	0,471	-0,0042	-0,006	0,011	0,1	9,16E-4
2,650	-0,185	-0,204	0,942	-0,0044	-0,005	0,022	0,1	9,31E-4
2,700	-0,195	-0,141	1,414	-0,0047	-0,003	0,034	0,1	9,16E-4
2,750	-0,199	-0,063	0,942	-0,0048	-0,001	0,023	0,1	9,31E-4
2,800	-0,201	-0,047	-0,942	-0,0048	-0,001	-0,022	0,1	9,16E-4
2,850	-0,204	-0,157	-1,257	-0,0049	-0,004	-0,030	0,1	9,31E-4
2,900	-0,217	-0,173	-6,939E-15	-0,0052	-0,004	-8,240E-17	0,1	9,31E-4
2,950	-0,221	-0,157	0,471	-0,0053	-0,004	0,011	0,1	9,16E-4
