Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,2	0,00
0,050	0,000			0,0000			0,2	0,00
0,100	0,000	0,000		0,0000	0,000		0,2	0,00
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,550	0,000	0,000	0,000	0,0000	0,000	0,000	0,2	0,00
0,600	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,2	0,00
0,650	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,2	0,00
0,700	-0,002	-0,016	0,157	-3,7500E-5	-3,750E-4	0,004	0,2	0,00
0,750	-0,002	0,000	0,157	-3,7500E-5	0,000	0,004	0,2	0,00
0,800	-0,002	0,000	-0,157	-3,7500E-5	0,000	-0,004	0,2	0,00
0,850	-0,002	-0,016	-0,157	-3,7500E-5	-3,750E-4	-0,004	0,2	0,00
0,900	-0,003	-0,016	0,157	-7,5000E-5	-3,750E-4	0,004	0,2	0,00
0,950	-0,003	0,000	0,628	-7,5000E-5	0,000	0,015	0,2	0,00
1,000	-0,003	0,047	0,157	-7,5000E-5	0,001	0,004	0,2	0,00
1,050	0,002	0,016	-0,942	3,7500E-5	3,750E-4	-0,022	0,2	0,00
1,100	-0,002	-0,047	-0,314	-3,7500E-5	-0,001	-0,007	0,2	0,00
1,150	-0,003	-0,016	0,314	-7,5000E-5	-3,750E-4	0,007	0,2	0,00
1,200	-0,003	-0,016	-3,469E-16	-7,5000E-5	-3,750E-4	-7,047E-18	0,2	0,00
1,250	-0,005	-0,016	0,471	-1,1250E-4	-3,750E-4	0,011	0,2	0,00
1,300	-0,005	0,031	0,471	-1,1250E-4	7,500E-4	0,011	0,2	0,00
1,350	-0,002	0,031	0,000	-3,7500E-5	7,500E-4	0,000	0,2	0,00
1,400	-0,002	0,031	0,471	-3,7500E-5	7,500E-4	0,011	0,2	0,00
1,450	0,002	0,079	0,314	3,7500E-5	0,002	0,008	0,2	0,00
1,500	0,006	0,063	-0,314	1,5000E-4	0,002	-0,008	0,2	0,00
1,550	0,008	0,047	-1,249E-15	1,8750E-4	0,001	-3,253E-17	0,2	0,00
1,600	0,011	0,063	-1,388E-16	2,6250E-4	0,001	0,000	0,2	0,00
1,650	0,014	0,047	0,157	3,3750E-4	0,001	0,004	0,2	0,00
1,700	0,016	0,079	0,471	3,7500E-4	0,002	0,011	0,2	0,00
1,750	0,022	0,094	0,157	5,2500E-4	0,002	0,004	0,2	0,00
1,800	0,025	0,094	-2,914E-15	6,0000E-4	0,002	-5,204E-17	0,2	0,00
1,850	0,031	0,094	-0,314	7,5000E-4	0,002	-0,008	0,2	0,00
1,900	0,035	0,063	-0,157	8,2500E-4	0,001	-0,004	0,2	0,00
1,950	0,038	0,079	0,942	9,0000E-4	0,002	0,023	0,2	0,00
2,000	0,042	0,157	-1,110E-15	0,0010	0,004	-4,337E-17	0,2	0,00
2,050	0,053	0,079	-1,414	0,0013	0,002	-0,034	0,2	0,00
2,100	0,050	0,016	0,314	0,0012	3,750E-4	0,007	0,2	0,00
2,150	0,055	0,110	0,942	0,0013	0,003	0,022	0,2	0,00
2,200	0,061	0,110	-0,471	0,0015	0,003	-0,011	0,2	0,00
2,250	0,066	0,063	-0,314	0,0016	0,001	-0,008	0,2	0,00
2,300	0,068	0,079	0,785	0,0016	0,002	0,019	0,2	0,00
2,350	0,074	0,141	0,628	0,0018	0,003	0,015	0,2	0,00
2,400	0,082	0,141	-0,471	0,0019	0,003	-0,011	0,2	0,00
2,450	0,088	0,094	-0,942	0,0021	0,002	-0,022	0,2	0,00
2,500	0,091	0,047	-0,471	0,0022	0,001	-0,011	0,2	0,00
2,550	0,093	0,047	0,471	0,0022	0,001	0,011	0,2	0,00
2,600	0,096	0,094	0,471	0,0023	0,002	0,011	0,2	0,00
2,650	0,102	0,094	0,157	0,0024	0,002	0,004	0,2	0,00
2,700	0,105	0,110	0,314	0,0025	0,003	0,008	0,2	0,00
2,750	0,113	0,126	-6,245E-15	0,0027	0,003	-1,171E-16	0,2	0,00
2,800	0,118	0,110	0,157	0,0028	0,003	0,004	0,2	0,00
2,850	0,124	0,141	-0,157	0,0030	0,003	-0,004	0,2	0,00
2,900	0,132	0,094	-1,100	0,0032	0,002	-0,026	0,2	0,00
2,950	0,134	0,031	-0,157	0,0032	7,500E-4	-0,004	0,2	0,00
3,000	0,135	0,079	0,942	0,0032	0,002	0,023	0,2	0,00
3,050	0,141	0,126	0,785	0,0034	0,003	0,019	0,2	0,00
3,100	0,148	0,157	0,314	0,0035	0,004	0,007	0,2	0,00
3,150	0,157	0,157	-0,471	0,0038	0,004	-0,011	0,2	0,00
3,200	0,163	0,110	-0,785	0,0039	0,003	-0,019	0,2	0,00
3,250	0,168	0,079	-0,471	0,0040	0,002	-0,011	0,2	0,00
3,300	0,171	0,063	3,469E-15	0,0041	0,002	4,120E-17	0,2	0,00
3,350	0,174	0,079	0,471	0,0042	0,002	0,011	0,2	0,00
3,400	0,179	0,110	0,471	0,0043	0,003	0,011	0,2	0,00
3,450	0,185	0,126	0,157	0,0044	0,003	0,004	0,2	0,00
3,500	0,192	0,126	0,000	0,0046	0,003	0,000	0,2	0,00
3,550	0,198	0,126	5,551E-15	0,0047	0,003	1,344E-16	0,2	0,00
3,600	0,204	0,126	-0,314	0,0049	0,003	-0,007	0,2	0,00
3,650	0,210	0,094	-0,628	0,0050	0,002	-0,015	0,2	0,00
3,700	0,214	0,063	-0,157	0,0051	0,002	-0,004	0,2	0,00
3,750	0,217	0,079	0,471	0,0052	0,002	0,011	0,2	0,00
3,800	0,221	0,110	0,471	0,0053	0,003	0,011	0,2	0,00
3,850	0,228	0,126	0,157	0,0054	0,003	0,004	0,2	0,00
3,900	0,234	0,126	-0,157	0,0056	0,003	-0,004	0,2	0,00
3,950	0,240	0,110	5,551E-15	0,0057	0,003	1,344E-16	0,2	0,00
4,000	0,245	0,126	-0,157	0,0059	0,003	-0,004	0,2	0,00
4,050	0,253	0,094	-0,785	0,0060	0,002	-0,019	0,2	0,00
4,100	0,254	0,047	-0,157	0,0061	0,001	-0,004	0,2	0,00
4,150	0,258	0,079	0,785	0,0062	0,002	0,019	0,2	0,00
4,200	0,262	0,126	0,785	0,0063	0,003	0,019	0,2	0,00
4,250	0,270	0,157	-1,110E-14	0,0065	0,004	-2,689E-16	0,2	0,00
4,300	0,278	0,126	-0,628	0,0066	0,003	-0,015	0,2	0,00
4,350	0,283	0,094	1,110E-14	0,0068	0,002	2,689E-16	0,2	0,00
4,400	0,287	0,126	8,327E-15	0,0069	0,003	2,862E-16	0,2	0,00
4,450	0,295	0,094	-0,471	0,0071	0,002	-0,011	0,2	0,00
4,500	0,297	0,079	0,157	0,0071	0,002	0,004	0,2	0,00
4,550	0,303	0,110	0,314	0,0072	0,003	0,007	0,2	0,00
4,600	0,308	0,110	0,314	0,0074	0,003	0,008	0,2	0,00
4,650	0,314	0,141	0,628	0,0075	0,003	0,015	0,2	0,00
4,700	0,322	0,173	-0,314	0,0077	0,004	-0,008	0,2	0,00
4,750	0,331	0,110	-1,257	0,0079	0,003	-0,030	0,2	0,00
4,800	0,333	0,047	-0,471	0,0080	0,001	-0,011	0,2	0,00
4,850	0,336	0,063	0,471	0,0080	0,002	0,011	0,2	0,00
4,900	0,339	0,094	0,785	0,0081	0,002	0,019	0,2	0,00
4,950	0,346	0,141	0,628	0,0083	0,003	0,015	0,2	0,00
5,000	0,353	0,157	-0,157	0,0084	0,004	-0,004	0,2	0,00
5,050	0,361	0,126	-0,628	0,0086	0,003	-0,015	0,2	0,00
5,100	0,366	0,094	-0,314	0,0087	0,002	-0,007	0,2	0,00
5,150	0,371	0,094	-0,157	0,0089	0,002	-0,004	0,2	0,00
5,200	0,375	0,079	-8,327E-15	0,0090	0,002	-2,602E-17	0,2	0,00
5,250	0,379	0,094	0,471	0,0090	0,002	0,011	0,2	0,00
5,300	0,385	0,126	0,471	0,0092	0,003	0,011	0,2	0,00
5,350	0,391	0,141	0,157	0,0093	0,003	0,004	0,2	0,00
5,400	0,399	0,141	-0,314	0,0095	0,003	-0,008	0,2	0,00
5,450	0,405	0,110	-0,314	0,0097	0,003	-0,008	0,2	0,00
5,500	0,410	0,110	-0,314	0,0098	0,003	-0,008	0,2	0,00
5,550	0,416	0,079	-0,314	0,0099	0,002	-0,008	0,2	0,00
5,600	0,418	0,079	0,471	0,0100	0,002	0,011	0,2	0,00
5,650	0,424	0,126	0,628	0,0101	0,003	0,015	0,2	0,00
5,700	0,430	0,141	0,157	0,0103	0,003	0,004	0,2	0,00
5,750	0,438	0,141	-0,314	0,0105	0,003	-0,008	0,2	0,00
5,800	0,445	0,110	-0,157	0,0106	0,003	-0,004	0,2	0,00
5,850	0,449	0,126	-0,157	0,0107	0,003	-0,004	0,2	0,00
5,900	0,457	0,094	-0,785	0,0109	0,002	-0,019	0,2	0,00
5,950	0,459	0,047	-8,327E-15	0,0110	0,001	-2,602E-17	0,2	0,00
6,000	0,462	0,094	0,942	0,0110	0,002	0,022	0,2	0,00
6,050	0,468	0,141	0,628	0,0112	0,003	0,015	0,2	0,00
6,100	0,476	0,157	1,249E-14	0,0114	0,004	2,992E-16	0,2	0,00
6,150	0,484	0,141	-0,314	0,0116	0,003	-0,007	0,2	0,00
6,200	0,490	0,126	-0,471	0,0117	0,003	-0,011	0,2	0,00
6,250	0,496	0,094	-0,628	0,0119	0,002	-0,015	0,2	0,00
6,300	0,500	0,063	8,327E-15	0,0119	0,002	1,995E-16	0,2	0,00
6,350	0,503	0,094	0,628	0,0120	0,002	0,015	0,2	0,00
6,400	0,509	0,126	0,471	0,0122	0,003	0,011	0,2	0,00
6,450	0,515	0,141	-0,157	0,0123	0,003	-0,004	0,2	0,00
6,500	0,523	0,110	-0,628	0,0125	0,003	-0,015	0,2	0,00
6,550	0,526	0,079	0,314	0,0126	0,002	0,008	0,2	0,00
6,600	0,531	0,141	0,314	0,0127	0,003	0,008	0,2	0,00
6,650	0,540	0,110	-0,785	0,0129	0,003	-0,019	0,2	0,00
6,700	0,542	0,063	-9,714E-15	0,0129	0,001	-6,072E-17	0,2	0,00
6,750	0,547	0,110	0,628	0,0131	0,003	0,015	0,2	0,00
6,800	0,553	0,126	0,157	0,0132	0,003	0,004	0,2	0,00
6,850	0,559	0,126	-0,314	0,0134	0,003	-0,007	0,2	0,00
6,900	0,565	0,094	0,000	0,0135	0,002	-1,735E-16	0,2	0,00
6,950	0,569	0,126	0,314	0,0136	0,003	0,007	0,2	0,00
7,000	0,578	0,126	-0,785	0,0138	0,003	-0,019	0,2	0,00
7,050	0,581	0,047	-0,471	0,0139	0,001	-0,011	0,2	0,00
7,100	0,583	0,079	1,100	0,0139	0,002	0,026	0,2	0,00
7,150	0,589	0,157	0,628	0,0141	0,004	0,015	0,2	0,00
7,200	0,598	0,141	-0,628	0,0143	0,003	-0,015	0,2	0,00
7,250	0,603	0,094	-0,471	0,0144	0,002	-0,011	0,2	0,00
7,300	0,608	0,094	0,157	0,0145	0,002	0,004	0,2	0,00
7,350	0,613	0,110	0,157	0,0146	0,003	0,004	0,2	0,00
7,400	0,619	0,110	-0,471	0,0148	0,003	-0,011	0,2	0,00
7,450	0,624	0,063	-0,471	0,0149	0,001	-0,011	0,2	0,00
7,500	0,625	0,063	0,471	0,0149	0,001	0,011	0,2	0,00
7,550	0,630	0,110	0,471	0,0150	0,003	0,011	0,2	0,00
7,600	0,636	0,110	9,714E-15	0,0152	0,003	2,342E-16	0,2	0,00
7,650	0,641	0,110	-0,157	0,0153	0,003	-0,004	0,2	0,00
7,700	0,647	0,094	-0,157	0,0155	0,002	-0,004	0,2	0,00
7,750	0,650	0,094	0,314	0,0155	0,002	0,007	0,2	0,00
7,800	0,657	0,126	-0,157	0,0157	0,003	-0,004	0,2	0,00
7,850	0,663	0,079	-0,785	0,0158	0,002	-0,019	0,2	0,00
7,900	0,664	0,047	0,000	0,0159	0,001	0,000	0,2	0,00
7,950	0,668	0,079	0,628	0,0159	0,002	0,015	0,2	0,00
8,000	0,672	0,110	0,157	0,0161	0,003	0,004	0,2	0,00
8,050	0,679	0,094	-0,314	0,0162	0,002	-0,007	0,2	0,00
8,100	0,682	0,079	-1,679E-14	0,0163	0,002	-5,204E-17	0,2	0,00
8,150	0,686	0,094	0,471	0,0164	0,002	0,011	0,2	0,00
8,200	0,691	0,126	0,471	0,0165	0,003	0,011	0,2	0,00
8,250	0,699	0,141	-0,471	0,0167	0,003	-0,011	0,2	0,00
8,300	0,705	0,079	-0,942	0,0168	0,002	-0,023	0,2	0,00
8,350	0,707	0,047	-1,388E-14	0,0169	0,001	-3,339E-16	0,2	0,00
8,400	0,710	0,079	0,628	0,0170	0,002	0,015	0,2	0,00
8,450	0,715	0,110	0,157	0,0171	0,003	0,004	0,2	0,00
8,500	0,721	0,094	-0,471	0,0172	0,002	-0,011	0,2	0,00
8,550	0,724	0,063	-0,471	0,0173	0,001	-0,011	0,2	0,00
8,600	0,727	0,047	1,110E-14	0,0174	0,001	6,137E-16	0,2	0,00
