Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,1	8,70E-4	0,000							0,3	0,00
0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,3	0,00
0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,3	0,00
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,3	0,00
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,3	0,00
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,3	0,00
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	-0,016	-0,471	0,0000	-3,750E-4	-0,011	0,3	0,00
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	-0,002	-0,047	-0,785	-3,7500E-5	-0,001	-0,019	0,3	0,00
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	-0,005	-0,094	-0,785	-1,1250E-4	-0,002	-0,019	0,3	0,00
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	-0,011	-0,126	0,314	-2,6250E-4	-0,003	0,008	0,3	0,00
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	-0,017	-0,063	1,257	-4,1250E-4	-0,001	0,030	0,3	0,00
0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	-0,017	0,000	0,628	-4,1250E-4	0,000	0,015	0,3	0,00
0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4	0,600	-0,017	0,000	2,199	-4,1250E-4	0,000	0,052	0,3	0,00
0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4	0,650	-0,017	0,220	1,728	-4,1250E-4	0,005	0,041	0,3	0,00
0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4	0,700	0,005	0,173	-2,513	1,1250E-4	0,004	-0,060	0,3	0,00
0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,750	2,602E-18	-0,031	-2,042	9,4868E-20	-7,500E-4	-0,049	0,3	0,00
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,800	0,002	-0,031	-0,157	3,7500E-5	-7,500E-4	-0,004	0,3	0,00
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,850	-0,003	-0,047	0,785	-7,5000E-5	-0,001	0,019	0,3	0,00
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,900	-0,003	0,047	1,728	-7,5000E-5	0,001	0,041	0,3	0,00
0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4	0,950	0,002	0,126	0,157	3,7500E-5	0,003	0,004	0,3	0,00
1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4	1,000	0,009	0,063	-1,100	2,2500E-4	0,002	-0,026	0,3	0,00
1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4	1,050	0,008	0,016	-0,157	1,8750E-4	3,750E-4	-0,004	0,3	0,00
1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4	1,100	0,011	0,047	0,942	2,6250E-4	0,001	0,022	0,3	0,00
1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4	1,150	0,013	0,110	0,471	3,0000E-4	0,003	0,011	0,3	0,00
1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4	1,200	0,022	0,094	-0,157	5,2500E-4	0,002	-0,004	0,3	0,00
1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4	1,250	0,022	0,094	0,628	5,2500E-4	0,002	0,015	0,3	0,00
1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4	1,300	0,031	0,157	0,157	7,5000E-4	0,004	0,004	0,3	0,00
1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4	1,350	0,038	0,110	-0,471	9,0000E-4	0,003	-0,011	0,3	0,00
1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	0,042	0,110	-0,157	0,0010	0,003	-0,004	0,3	0,00
1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	0,049	0,094	-0,314	0,0012	0,002	-0,007	0,3	0,00
1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	0,052	0,079	0,314	0,0012	0,002	0,007	0,3	0,00
