Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,3	0,00
0,050	0,000			0,0000			0,3	0,00
0,100	0,000	0,000		0,0000	0,000		0,3	0,00
0,150	0,000	0,016	0,157	0,0000	3,750E-4	0,004	0,3	0,00
0,200	0,002	0,016	-3,469E-17	3,7500E-5	3,750E-4	-1,084E-18	0,3	0,00
0,250	0,002	0,016	0,157	3,7500E-5	3,750E-4	0,004	0,3	0,00
0,300	0,003	0,031	6,939E-17	7,5000E-5	7,500E-4	2,711E-18	0,3	0,00
0,350	0,005	0,016	-0,314	1,1250E-4	3,750E-4	-0,008	0,3	0,00
0,400	0,005	0,000	-0,471	1,1250E-4	0,000	-0,011	0,3	0,00
0,450	0,005	-0,031	-0,471	1,1250E-4	-7,500E-4	-0,011	0,3	0,00
0,500	0,002	-0,047	-0,157	3,7500E-5	-0,001	-0,004	0,3	0,00
0,550	-2,168E-19	-0,047	-3,469E-16	6,7763E-21	-0,001	-2,168E-18	0,3	0,00
0,600	-0,003	-0,047	0,785	-7,5000E-5	-0,001	0,019	0,3	0,00
0,650	-0,005	0,031	1,257	-1,1250E-4	7,500E-4	0,030	0,3	0,00
0,700	-8,674E-19	0,079	-0,314	1,3553E-20	0,002	-0,008	0,3	0,00
0,750	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,3	0,00
0,800	-8,674E-19	-0,047	-0,314	1,3553E-20	-0,001	-0,007	0,3	0,00
0,850	-0,002	-0,031	0,314	-3,7500E-5	-7,500E-4	0,007	0,3	0,00
0,900	-0,003	-0,016	0,314	-7,5000E-5	-3,750E-4	0,008	0,3	0,00
0,950	-0,003	0,000	0,157	-7,5000E-5	0,000	0,004	0,3	0,00
1,000	-0,003	0,000	0,157	-7,5000E-5	0,000	0,004	0,3	0,00
1,050	-0,003	0,016	0,314	-7,5000E-5	3,750E-4	0,007	0,3	0,00
1,100	-0,002	0,031	0,157	-3,7500E-5	7,500E-4	0,004	0,3	0,00
1,150	-8,674E-19	0,031	-0,157	1,3553E-20	7,500E-4	-0,004	0,3	0,00
1,200	0,002	0,016	-0,157	3,7500E-5	3,750E-4	-0,004	0,3	0,00
1,250	0,002	0,016	0,471	3,7500E-5	3,750E-4	0,011	0,3	0,00
