Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,1	5,95E-4
0,050	0,000			0,0000			0,1	5,95E-4
0,100	0,000	0,000		0,0000	0,000		0,1	5,95E-4
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,10E-4
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	5,95E-4
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	5,95E-4
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	5,95E-4
0,350	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	6,10E-4
0,400	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	5,95E-4
0,450	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	5,95E-4
0,500	0,000	0,016	0,157	0,0000	3,750E-4	0,004	0,1	5,95E-4
0,550	0,000	0,016	6,939E-17	0,0000	3,750E-4	2,168E-18	0,1	5,95E-4
0,600	0,002	0,016	-0,157	3,7500E-5	3,750E-4	-0,004	0,1	5,95E-4
0,650	0,002	0,000	-0,157	3,7500E-5	0,000	-0,004	0,1	5,95E-4
0,700	0,002	0,000	0,000	3,7500E-5	0,000	0,000	0,1	5,95E-4
0,750	0,002	0,000	0,000	3,7500E-5	0,000	0,000	0,1	5,95E-4
0,800	0,002	0,000	0,000	3,7500E-5	0,000	0,000	0,1	5,95E-4
0,850	0,002	0,000	0,000	3,7500E-5	0,000	0,000	0,1	6,10E-4
0,900	0,002	0,000	0,000	3,7500E-5	0,000	0,000	0,1	5,95E-4
0,950	0,002	0,000	-0,157	3,7500E-5	0,000	-0,004	0,1	5,95E-4
1,000	0,002	-0,016	-0,314	3,7500E-5	-3,750E-4	-0,007	0,1	5,95E-4
1,050	0,000	-0,031	-0,471	0,0000	-7,500E-4	-0,011	0,1	6,10E-4
1,100	-0,002	-0,063	-0,628	-3,7500E-5	-0,001	-0,015	0,1	5,95E-4
1,150	-0,006	-0,094	-1,388E-15	-1,5000E-4	-0,002	-3,253E-17	0,1	6,10E-4
1,200	-0,011	-0,063	0,942	-2,6250E-4	-0,002	0,023	0,1	6,10E-4
1,250	-0,013	0,000	0,471	-3,0000E-4	0,000	0,011	0,1	6,10E-4
1,300	-0,011	-0,016	-0,785	-2,6250E-4	-3,750E-4	-0,019	0,1	6,10E-4
1,350	-0,014	-0,079	-0,785	-3,3750E-4	-0,002	-0,019	0,1	6,10E-4
1,400	-0,019	-0,094	-0,157	-4,5000E-4	-0,002	-0,004	0,1	6,10E-4
1,450	-0,024	-0,094	-0,471	-5,6250E-4	-0,002	-0,011	0,1	6,10E-4
1,500	-0,028	-0,141	-0,628	-6,7500E-4	-0,003	-0,015	0,1	6,41E-4
1,550	-0,038	-0,157	0,157	-9,0000E-4	-0,004	0,004	0,1	6,26E-4
