Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,1	8,70E-4	0,000							0,1	8,85E-4
0,050	0,000			0,0000			0,1	8,54E-4	0,050	0,000			0,0000			0,1	8,85E-4
0,100	0,000	0,000		0,0000	0,000		0,1	8,54E-4	0,100	0,000	0,000		0,0000	0,000		0,1	8,85E-4
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,85E-4
0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	8,85E-4
