Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,1	0
0,05	0,002			3,75E-05			0,1	0
0,1	0,002	0,016		3,75E-05	3,75E-04		0,1	0
0,15	0,003	0,016	-0,157	7,50E-05	3,75E-04	-0,004	0,1	0
0,2	0,003	0	-0,314	7,50E-05	0	-0,008	0,1	0
0,25	0,003	-0,016	-0,314	7,50E-05	-3,75E-04	-0,007	0,1	0
0,3	0,002	-0,031	-0,314	3,75E-05	-7,50E-04	-0,008	0,1	0
0,35	0	-0,047	-0,471	0	-0,001	-0,011	0,1	0
0,4	-0,003	-0,079	0,628	-7,50E-05	-0,002	0,015	0,1	0
0,45	-0,008	0,016	1,257	-1,88E-04	3,75E-04	0,03	0,1	0
0,5	-0,002	0,047	-0,314	-3,75E-05	0,001	-0,007	0,1	0
0,55	-0,003	-0,016	-0,471	-7,50E-05	-3,75E-04	-0,011	0,1	0
0,6	-0,003	0	0,157	-7,50E-05	0	0,004	0,1	0
0,65	-0,003	0	0	-7,50E-05	0	0	0,1	0
0,7	-0,003	0	0	-7,50E-05	0	0	0,1	0
0,75	-0,003	0	0	-7,50E-05	0	0	0,1	0
0,8	-0,003	0	0	-7,50E-05	0	0	0,1	0
0,85	-0,003	0	0	-7,50E-05	0	0	0,1	0
0,9	-0,003	0	0,471	-7,50E-05	0	0,011	0,1	0
0,95	-0,003	0,047	0,157	-7,50E-05	0,001	0,004	0,1	0
1	0,002	0,016	-0,785	3,75E-05	3,75E-04	-0,019	0,1	0
1,05	-0,002	-0,031	-0,157	-3,75E-05	-7,50E-04	-0,004	0,1	0
1,1	-0,002	0	0,314	-3,75E-05	0	0,007	0,1	0
1,15	-0,002	0	0	-3,75E-05	0	0	0,1	0
1,2	-0,002	0	-0,157	-3,75E-05	0	-0,004	0,1	0
1,25	-0,002	-0,016	-0,314	-3,75E-05	-3,75E-04	-0,008	0,1	0
1,3	-0,003	-0,031	3,12E-16	-7,50E-05	-7,50E-04	8,13E-18	0,1	0
1,35	-0,005	-0,016	0,314	-1,13E-04	-3,75E-04	0,007	0,1	0
1,4	-0,005	0	0,157	-1,13E-04	0	0,004	0,1	0
1,45	-0,005	0	0,157	-1,13E-04	0	0,004	0,1	0
1,5	-0,005	0,016	0,785	-1,13E-04	3,75E-04	0,019	0,1	0
1,55	-0,003	0,079	0,785	-7,50E-05	0,002	0,019	0,1	0
1,6	0,003	0,094	-0,157	7,50E-05	0,002	-0,004	0,1	0
1,65	0,006	0,063	-0,314	1,50E-04	0,001	-0,007	0,1	0
1,7	0,009	0,063	0,314	2,25E-04	0,002	0,008	0,1	0
1,75	0,013	0,094	0,471	3,00E-04	0,002	0,011	0,1	0
1,8	0,019	0,11	0,471	4,50E-04	0,003	0,011	0,1	9,77E-04
1,85	0,024	0,141	0,471	5,63E-04	0,003	0,011	0,1	9,31E-04
1,9	0,033	0,157	0,157	7,88E-04	0,004	0,004	0,1	9,31E-04
1,95	0,039	0,157	-0,314	9,38E-04	0,004	-0,007	0,1	9,92E-04
2	0,049	0,126	-0,942	0,0012	0,003	-0,023	0,1	0
2,05	0,052	0,063	-0,785	0,0012	0,001	-0,019	0,1	0
2,1	0,055	0,047	0,628	0,0013	0,001	0,015	0,1	0
2,15	0,057	0,126	1,571	0,0013	0,003	0,037	0,1	0
2,2	0,068	0,204	0,942	0,0016	0,005	0,023	0,1	0
2,25	0,077	0,22	-0,314	0,0018	0,005	-0,007	0,1	9,46E-04
2,3	0,09	0,173	-1,728	0,0021	0,004	-0,041	0,1	9,00E-04
2,35	0,094	0,047	-1,257	0,0022	0,001	-0,03	0,1	8,85E-04
2,4	0,094	0,047	0,471	0,0022	0,001	0,011	0,1	8,85E-04
2,45	0,099	0,094	1,571	0,0024	0,002	0,038	0,1	9,00E-04
2,5	0,104	0,204	1,257	0,0025	0,005	0,03	0,1	9,61E-04
2,55	0,119	0,22	-0,471	0,0029	0,005	-0,011	0,1	9,77E-04
2,6	0,126	0,157	-1,571	0,003	0,004	-0,037	0,1	9,77E-04
2,65	0,135	0,063	-1,414	0,0032	0,001	-0,034	0,1	9,61E-04
2,7	0,132	0,016	1,571	0,0032	3,75E-04	0,038	0,1	9,46E-04
2,75	0,137	0,22	3,142	0,0033	0,005	0,075	0,1	9,00E-04
2,8	0,154	0,33	-0,471	0,0037	0,008	-0,011	0,1	8,70E-04
2,85	0,17	0,173	-2,827	0,0041	0,004	-0,067	0,1	9,31E-04
2,9	0,171	0,047	-1,414	0,0041	0,001	-0,034	0,1	9,16E-04
2,95	0,174	0,031	0,785	0,0042	7,50E-04	0,019	0,1	8,85E-04
3	0,174	0,126	2,042	0,0042	0,003	0,049	0,1	0
3,05	0,187	0,236	2,042	0,0045	0,006	0,049	0,1	0
3,1	0,198	0,33	0,157	0,0047	0,008	0,004	0,1	0
3,15	0,22	0,251	-3,77	0,0053	0,006	-0,09	0,1	0
3,2	0,223	-0,047	-2,985	0,0053	-0,001	-0,071	0,1	0
3,25	0,215	-0,047	1,885	0,0051	-0,001	0,045	0,1	0
3,3	0,218	0,141	3,299	0,0052	0,003	0,079	0,1	0
3,35	0,229	0,283	0,628	0,0055	0,007	0,015	0,1	0
3,4	0,247	0,204	-1,571	0,0059	0,005	-0,037	0,1	0
3,45	0,25	0,126	-1,728	0,006	0,003	-0,041	0,1	0
3,5	0,259	0,031	-0,942	0,0062	7,50E-04	-0,023	0,1	0
3,55	0,253	0,031	2,513	0,006	7,50E-04	0,06	0,1	0
3,6	0,262	0,283	3,77	0,0063	0,007	0,09	0,1	9,92E-04
3,65	0,281	0,408	-0,942	0,0067	0,01	-0,022	0,1	9,46E-04
3,7	0,303	0,188	-5,027	0,0072	0,005	-0,12	0,1	9,77E-04
3,75	0,3	-0,094	-1,571	0,0072	-0,002	-0,038	0,1	9,61E-04
3,8	0,294	0,031	2,513	0,007	7,50E-04	0,06	0,1	9,46E-04
3,85	0,303	0,157	1,885	0,0072	0,004	0,045	0,1	9,61E-04
3,9	0,309	0,22	-0,157	0,0074	0,005	-0,004	0,1	0
3,95	0,325	0,141	-1,257	0,0078	0,003	-0,03	0,1	0
4	0,324	0,094	-0,157	0,0077	0,002	-0,004	0,1	0
4,05	0,335	0,126	-8,33E-15	0,008	0,003	-2,86E-16	0,1	0
4,1	0,336	0,094	1,257	0,008	0,002	0,03	0,1	9,77E-04
4,15	0,344	0,251	2,356	0,0082	0,006	0,056	0,1	9,16E-04
4,2	0,361	0,33	-1,1	0,0086	0,008	-0,026	0,1	9,46E-04
4,25	0,377	0,141	-3,299	0,009	0,003	-0,079	0,1	9,61E-04
4,3	0,375	0	-1,25E-14	0,009	0	-4,73E-16	0,1	0
4,35	0,377	0,141	1,885	0,009	0,003	0,045	0,1	0
4,4	0,39	0,188	-0,942	0,0093	0,004	-0,022	0,1	0
4,45	0,396	0,047	-2,67	0,0095	0,001	-0,064	0,1	0
4,5	0,394	-0,079	-0,785	0,0094	-0,002	-0,019	0,1	0
4,55	0,388	-0,031	0,942	0,0093	-7,50E-04	0,023	0,1	0
4,6	0,391	0,016	1,885	0,0093	3,75E-04	0,045	0,1	0
4,65	0,39	0,157	5,184	0,0093	0,004	0,124	0,1	0
4,7	0,407	0,534	1,728	0,0097	0,013	0,041	0,1	0
4,75	0,443	0,33	-6,126	0,0106	0,008	-0,146	0,1	0
4,8	0,44	-0,079	-4,398	0,0105	-0,002	-0,105	0,1	9,77E-04
4,85	0,435	-0,11	-6,94E-15	0,0104	-0,003	-1,67E-16	0,1	9,92E-04
4,9	0,429	-0,079	2,199	0,0102	-0,002	0,053	0,1	0
4,95	0,427	0,11	3,613	0,0102	0,003	0,086	0,1	9,92E-04
5	0,44	0,283	0,628	0,0105	0,007	0,015	0,1	0
5,05	0,456	0,173	-2,042	0,0109	0,004	-0,049	0,1	0
5,1	0,457	0,079	-0,942	0,0109	0,002	-0,022	0,1	0
5,15	0,463	0,079	-0,471	0,0111	0,002	-0,011	0,1	0
5,2	0,465	0,031	0,314	0,0111	7,50E-04	0,007	0,1	0
5,25	0,467	0,11	1,571	0,0111	0,003	0,037	0,1	0
5,3	0,476	0,188	1,257	0,0114	0,004	0,03	0,1	0
5,35	0,485	0,236	0,157	0,0116	0,006	0,004	0,1	0
5,4	0,5	0,204	-1,728	0,0119	0,005	-0,041	0,1	9,92E-04
5,45	0,506	0,063	-1,885	0,0121	0,002	-0,045	0,1	0
5,5	0,506	0,016	0,785	0,0121	3,75E-04	0,019	0,1	0
5,55	0,507	0,141	2,513	0,0121	0,003	0,06	0,1	0
5,6	0,52	0,267	0,314	0,0124	0,006	0,008	0,1	0
5,65	0,534	0,173	-1,728	0,0128	0,004	-0,041	0,1	0
5,7	0,537	0,094	-0,785	0,0128	0,002	-0,019	0,1	0
