Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,3	0
0,05	0			0			0,3	0
0,1	0	0		0	0		0,3	0
0,15	0	0	0,157	0	0	0,004	0,3	0
0,2	0	0,016	0,157	0	3,75E-04	0,004	0,3	0
0,25	0,002	0,016	-0,314	3,75E-05	3,75E-04	-0,007	0,3	0
0,3	0,002	-0,016	-0,314	3,75E-05	-3,75E-04	-0,007	0,3	0
0,35	0	-0,016	0,157	0	-3,75E-04	0,004	0,3	0
0,4	0	0	0,157	0	0	0,004	0,3	0
0,45	0	0	-0,157	0	0	-0,004	0,3	0
0,5	0	-0,016	-0,157	0	-3,75E-04	-0,004	0,3	0
0,55	-0,002	-0,016	0,157	-3,75E-05	-3,75E-04	0,004	0,3	0
0,6	-0,002	0	-1,74E-16	-3,75E-05	0	-4,34E-18	0,3	0
0,65	-0,002	-0,016	0	-3,75E-05	-3,75E-04	0	0,3	0
0,7	-0,003	0	0,314	-7,50E-05	0	0,008	0,3	0
0,75	-0,002	0,016	0	-3,75E-05	3,75E-04	0	0,3	0
0,8	-0,002	0	0,157	-3,75E-05	0	0,004	0,3	0
0,85	-0,002	0,031	0,471	-3,75E-05	7,50E-04	0,011	0,3	0
0,9	0,002	0,047	0,157	3,75E-05	0,001	0,004	0,3	0
0,95	0,003	0,047	-0,157	7,50E-05	0,001	-0,004	0,3	0
1	0,006	0,031	-0,157	1,50E-04	7,50E-04	-0,004	0,3	0
1,05	0,006	0,031	0,157	1,50E-04	7,50E-04	0,004	0,3	0
1,1	0,009	0,047	6,94E-17	2,25E-04	0,001	-2,17E-18	0,3	0
1,15	0,011	0,031	-0,157	2,63E-04	7,50E-04	-0,004	0,3	0
1,2	0,013	0,031	0,157	3,00E-04	7,50E-04	0,004	0,3	0
1,25	0,014	0,047	0,314	3,38E-04	0,001	0,008	0,3	0
1,3	0,017	0,063	0,157	4,13E-04	0,002	0,004	0,3	0
1,35	0,02	0,063	-0,157	4,88E-04	0,001	-0,004	0,3	0
1,4	0,024	0,047	-4,16E-16	5,63E-04	0,001	-4,34E-18	0,3	0
1,45	0,025	0,063	0,471	6,00E-04	0,001	0,011	0,3	0
1,5	0,03	0,094	0,157	7,13E-04	0,002	0,004	0,3	0
1,55	0,035	0,079	-2,50E-15	8,25E-04	0,002	-3,90E-17	0,3	0
1,6	0,038	0,094	0,785	9,00E-04	0,002	0,019	0,3	0
1,65	0,044	0,157	2,08E-15	0,001	0,004	3,90E-17	0,3	0
1,7	0,053	0,094	-1,257	0,0013	0,002	-0,03	0,3	0
1,75	0,053	0,031	-0,471	0,0013	7,50E-04	-0,011	0,3	0
1,8	0,057	0,047	0,628	0,0013	0,001	0,015	0,3	0
1,85	0,058	0,094	0,628	0,0014	0,002	0,015	0,3	0
1,9	0,066	0,11	-0,157	0,0016	0,003	-0,004	0,3	0
1,95	0,069	0,079	-0,314	0,0016	0,002	-0,008	0,3	0
2	0,074	0,079	0,157	0,0018	0,002	0,004	0,3	0
2,05	0,077	0,094	0,785	0,0018	0,002	0,019	0,3	0
2,1	0,083	0,157	0,314	0,002	0,004	0,008	0,3	0
2,15	0,093	0,126	-1,257	0,0022	0,003	-0,03	0,3	0
2,2	0,096	0,031	-0,628	0,0023	7,50E-04	-0,015	0,3	0
2,25	0,096	0,063	0,785	0,0023	0,001	0,019	0,3	0
2,3	0,102	0,11	0,314	0,0024	0,003	0,008	0,3	0
2,35	0,107	0,094	-0,157	0,0026	0,002	-0,004	0,3	0
2,4	0,112	0,094	-4,16E-15	0,0027	0,002	-9,98E-17	0,3	0
2,45	0,116	0,094	0,628	0,0028	0,002	0,015	0,3	0
2,5	0,121	0,157	0,314	0,0029	0,004	0,008	0,3	0
2,55	0,132	0,126	-1,1	0,0032	0,003	-0,026	0,3	0
2,6	0,134	0,047	-0,785	0,0032	0,001	-0,019	0,3	0
2,65	0,137	0,047	0,157	0,0033	0,001	0,004	0,3	0
2,7	0,138	0,063	0,471	0,0033	0,002	0,011	0,3	0
2,75	0,143	0,094	0,628	0,0034	0,002	0,015	0,3	0
2,8	0,148	0,126	0,314	0,0035	0,003	0,007	0,3	0
2,85	0,156	0,126	-0,157	0,0037	0,003	-0,004	0,3	0
2,9	0,16	0,11	0,157	0,0038	0,003	0,004	0,3	0
2,95	0,167	0,141	-0,157	0,004	0,003	-0,004	0,3	0
3	0,174	0,094	-0,942	0,0042	0,002	-0,023	0,3	0
3,05	0,176	0,047	-0,628	0,0042	0,001	-0,015	0,3	0
3,1	0,179	0,031	0,314	0,0043	7,50E-04	0,007	0,3	0
3,15	0,179	0,079	1,257	0,0043	0,002	0,03	0,3	0
3,2	0,187	0,157	0,471	0,0045	0,004	0,011	0,3	0
3,25	0,195	0,126	-0,314	0,0047	0,003	-0,008	0,3	0
3,3	0,199	0,126	0,157	0,0048	0,003	0,004	0,3	0
3,35	0,207	0,141	-0,471	0,005	0,003	-0,011	0,3	0
3,4	0,214	0,079	-0,785	0,0051	0,002	-0,019	0,3	0
3,45	0,215	0,063	-0,157	0,0051	0,002	-0,004	0,3	0
3,5	0,22	0,063	-2,78E-15	0,0053	0,001	-6,72E-17	0,3	0
3,55	0,221	0,063	0,471	0,0053	0,001	0,011	0,3	0
3,6	0,226	0,11	0,471	0,0054	0,003	0,011	0,3	0
3,65	0,232	0,11	4,86E-15	0,0056	0,003	1,17E-16	0,3	0
3,7	0,237	0,11	0,157	0,0057	0,003	0,004	0,3	0
3,75	0,243	0,126	-2,08E-15	0,0058	0,003	-1,17E-16	0,3	0
