Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,2	0
0,05	0			0			0,2	0
0,1	0	0		0	0		0,2	0
0,15	0	0	0	0	0	0	0,2	0
0,2	0	0	0	0	0	0	0,2	0
0,25	0	0	0	0	0	0	0,2	0
0,3	0	0	0	0	0	0	0,2	0
0,35	0	0	0	0	0	0	0,2	0
0,4	0	0	0	0	0	0	0,2	0
0,45	0	0	0	0	0	0	0,2	0
0,5	0	0	0	0	0	0	0,2	0
0,55	0	0	0	0	0	0	0,2	0
0,6	0	0	0	0	0	0	0,2	0
0,65	0	0	0	0	0	0	0,2	0
0,7	0	0	0	0	0	0	0,2	0
0,75	0	0	0	0	0	0	0,2	0
0,8	0	0	0	0	0	0	0,2	0
0,85	0	0	0	0	0	0	0,2	0
0,9	0	0	0,157	0	0	0,004	0,2	0
0,95	0	0,016	0,157	0	3,75E-04	0,004	0,2	0
1	0,002	0,016	-0,157	3,75E-05	3,75E-04	-0,004	0,2	0
1,05	0,002	0	-0,157	3,75E-05	0	-0,004	0,2	0
1,1	0,002	0	0	3,75E-05	0	0	0,2	0
1,15	0,002	0	0	3,75E-05	0	0	0,2	0
1,2	0,002	0	0	3,75E-05	0	0	0,2	0
1,25	0,002	0	0,157	3,75E-05	0	0,004	0,2	0
1,3	0,002	0,016	0,157	3,75E-05	3,75E-04	0,004	0,2	0
1,35	0,003	0,016	0	7,50E-05	3,75E-04	5,42E-19	0,2	0
1,4	0,003	0,016	3,47E-16	7,50E-05	3,75E-04	9,22E-18	0,2	0
1,45	0,005	0,016	3,82E-16	1,13E-04	3,75E-04	7,05E-18	0,2	0
1,5	0,005	0,016	-3,12E-16	1,13E-04	3,75E-04	-9,76E-18	0,2	0
1,55	0,006	0,016	-0,157	1,50E-04	3,75E-04	-0,004	0,2	0
1,6	0,006	0	-0,157	1,50E-04	0	-0,004	0,2	0
1,65	0,006	0	-0,471	1,50E-04	0	-0,011	0,2	0
1,7	0,006	-0,047	-0,628	1,50E-04	-0,001	-0,015	0,2	0
1,75	0,002	-0,063	0,157	3,75E-05	-0,002	0,004	0,2	0
1,8	2,17E-19	-0,031	0,628	6,78E-21	-7,50E-04	0,015	0,2	0
1,85	-0,002	0	0,785	-3,75E-05	0	0,019	0,2	0
1,9	2,17E-19	0,047	0,157	6,78E-21	0,001	0,004	0,2	0
1,95	0,003	0,016	-0,942	7,50E-05	3,75E-04	-0,023	0,2	0
2	0,002	-0,047	-0,471	3,75E-05	-0,001	-0,011	0,2	0
2,05	-0,002	-0,031	0,628	-3,75E-05	-7,50E-04	0,015	0,2	0
2,1	-0,002	0,016	0,471	-3,75E-05	3,75E-04	0,011	0,2	0
2,15	4,34E-19	0,016	-0,471	1,36E-20	3,75E-04	-0,011	0,2	0
2,2	4,34E-19	-0,031	-0,471	1,36E-20	-7,50E-04	-0,011	0,2	0
2,25	-0,003	-0,031	0,314	-7,50E-05	-7,50E-04	0,008	0,2	0
2,3	-0,003	0	0,471	-7,50E-05	0	0,011	0,2	0
2,35	-0,003	0,016	0,157	-7,50E-05	3,75E-04	0,004	0,2	0
2,4	-0,002	0,016	1,39E-15	-3,75E-05	3,75E-04	3,36E-17	0,2	0
2,45	-0,002	0,016	0	-3,75E-05	3,75E-04	0	0,2	0
2,5	4,34E-19	0,016	-0,157	1,36E-20	3,75E-04	-0,004	0,2	0
2,55	4,34E-19	0	-0,314	1,36E-20	0	-0,008	0,2	0
2,6	4,34E-19	-0,016	0	1,36E-20	-3,75E-04	0	0,2	0
2,65	-0,002	0	0,628	-3,75E-05	0	0,015	0,2	0
2,7	4,34E-19	0,047	0,471	1,36E-20	0,001	0,011	0,2	0
2,75	0,003	0,047	-0,471	7,50E-05	0,001	-0,011	0,2	0
2,8	0,005	0	-0,157	1,13E-04	0	-0,004	0,2	0
2,85	0,003	0,031	0,785	7,50E-05	7,50E-04	0,019	0,2	0
2,9	0,008	0,079	0,314	1,88E-04	0,002	0,008	0,2	0
2,95	0,011	0,063	-0,157	2,63E-04	0,002	-0,004	0,2	0
3	0,014	0,063	0,157	3,38E-04	0,001	0,004	0,2	0
3,05	0,017	0,079	0,157	4,13E-04	0,002	0,004	0,2	0
3,1	0,022	0,079	0,157	5,25E-04	0,002	0,004	0,2	0
3,15	0,025	0,094	0,471	6,00E-04	0,002	0,011	0,2	0
3,2	0,031	0,126	-0,157	7,50E-04	0,003	-0,004	0,2	0
3,25	0,038	0,079	-0,157	9,00E-04	0,002	-0,004	0,2	0
3,3	0,039	0,11	0,628	9,38E-04	0,003	0,015	0,2	0
3,35	0,049	0,141	-0,314	0,0012	0,003	-0,007	0,2	0
3,4	0,053	0,079	-0,785	0,0013	0,002	-0,019	0,2	0
3,45	0,057	0,063	-0,157	0,0013	0,002	-0,004	0,2	0
3,5	0,06	0,063	0,157	0,0014	0,001	0,004	0,2	0
3,55	0,063	0,079	0,471	0,0015	0,002	0,011	0,2	0
3,6	0,068	0,11	0,314	0,0016	0,003	0,007	0,2	0
3,65	0,074	0,11	-0,471	0,0018	0,003	-0,011	0,2	0
3,7	0,079	0,063	-0,314	0,0019	0,002	-0,007	0,2	0
3,75	0,08	0,079	0,628	0,0019	0,002	0,015	0,2	0
3,8	0,086	0,126	0,157	0,0021	0,003	0,004	0,2	0
3,85	0,093	0,094	-0,785	0,0022	0,002	-0,019	0,2	0
3,9	0,096	0,047	-0,157	0,0023	0,001	-0,004	0,2	0
3,95	0,097	0,079	0,471	0,0023	0,002	0,011	0,2	0
4	0,104	0,094	0,314	0,0025	0,002	0,008	0,2	0
4,05	0,107	0,11	0,471	0,0026	0,003	0,011	0,2	0
4,1	0,115	0,141	-0,314	0,0027	0,003	-0,008	0,2	0
4,15	0,121	0,079	-0,628	0,0029	0,002	-0,015	0,2	0
4,2	0,123	0,079	0,471	0,0029	0,002	0,011	0,2	0
4,25	0,129	0,126	-0,157	0,0031	0,003	-0,004	0,2	0
4,3	0,135	0,063	-0,785	0,0032	0,001	-0,019	0,2	0
4,35	0,135	0,047	0,471	0,0032	0,001	0,011	0,2	0
4,4	0,14	0,11	0,942	0,0033	0,003	0,023	0,2	0
4,45	0,146	0,141	0,157	0,0035	0,003	0,004	0,2	0
4,5	0,154	0,126	-0,628	0,0037	0,003	-0,015	0,2	0
4,55	0,159	0,079	-0,157	0,0038	0,002	-0,004	0,2	0
4,6	0,162	0,11	0,314	0,0039	0,003	0,008	0,2	0
4,65	0,17	0,11	-0,471	0,0041	0,003	-0,011	0,2	0
4,7	0,173	0,063	-0,471	0,0041	0,002	-0,011	0,2	0
4,75	0,176	0,063	0,314	0,0042	0,002	0,007	0,2	0
4,8	0,179	0,094	0,628	0,0043	0,002	0,015	0,2	0
4,85	0,185	0,126	0,157	0,0044	0,003	0,004	0,2	0
4,9	0,192	0,11	-0,471	0,0046	0,003	-0,011	0,2	0
4,95	0,196	0,079	-0,157	0,0047	0,002	-0,004	0,2	0
5	0,199	0,094	0,314	0,0048	0,002	0,007	0,2	0
5,05	0,206	0,11	8,33E-15	0,0049	0,003	1,13E-16	0,2	0
5,1	0,21	0,094	-0,314	0,005	0,002	-0,007	0,2	0
5,15	0,215	0,079	0	0,0051	0,002	8,67E-17	0,2	0
5,2	0,218	0,094	0,314	0,0052	0,002	0,007	0,2	0
5,25	0,225	0,11	0,157	0,0054	0,003	0,004	0,2	0
5,3	0,229	0,11	9,71E-15	0,0055	0,003	2,34E-16	0,2	0
5,35	0,236	0,11	-0,314	0,0056	0,003	-0,007	0,2	0
5,4	0,24	0,079	2,78E-15	0,0057	0,002	8,67E-17	0,2	0
5,45	0,243	0,11	0,471	0,0058	0,003	0,011	0,2	0
5,5	0,251	0,126	-0,314	0,006	0,003	-0,008	0,2	0
5,55	0,256	0,079	-0,157	0,0061	0,002	-0,004	0,2	0
5,6	0,259	0,11	0,471	0,0062	0,003	0,011	0,2	0
5,65	0,267	0,126	0,157	0,0064	0,003	0,004	0,2	0
5,7	0,272	0,126	-0,157	0,0065	0,003	-0,004	0,2	0
5,75	0,28	0,11	0,157	0,0067	0,003	0,004	0,2	0
5,8	0,283	0,141	0,314	0,0068	0,003	0,007	0,2	0
5,85	0,294	0,141	-0,942	0,007	0,003	-0,022	0,2	0
5,9	0,297	0,047	-0,471	0,0071	0,001	-0,011	0,2	0
5,95	0,298	0,094	0,628	0,0071	0,002	0,015	0,2	0
6	0,306	0,11	-8,33E-15	0,0073	0,003	-2,00E-16	0,2	0
6,05	0,309	0,094	-9,71E-15	0,0074	0,002	-3,21E-16	0,2	0
6,1	0,316	0,11	-0,157	0,0075	0,003	-0,004	0,2	0
6,15	0,32	0,079	0,314	0,0077	0,002	0,008	0,2	0
6,2	0,324	0,141	0,628	0,0077	0,003	0,015	0,2	0
6,25	0,335	0,141	-0,785	0,008	0,003	-0,019	0,2	0
6,3	0,338	0,063	-0,471	0,0081	0,002	-0,011	0,2	0
6,35	0,341	0,094	0,314	0,0081	0,002	0,008	0,2	0
6,4	0,347	0,094	-0,157	0,0083	0,002	-0,004	0,2	0
6,45	0,35	0,079	0,157	0,0084	0,002	0,004	0,2	0
6,5	0,355	0,11	-6,94E-15	0,0085	0,003	-1,67E-16	0,2	0
6,55	0,361	0,079	-0,157	0,0086	0,002	-0,004	0,2	0
6,6	0,363	0,094	0,471	0,0087	0,002	0,011	0,2	0
6,65	0,371	0,126	0	0,0089	0,003	0	0,2	0
6,7	0,375	0,094	-0,314	0,009	0,002	-0,008	0,2	0
6,75	0,38	0,094	-8,33E-15	0,0091	0,002	-2,00E-16	0,2	0
6,8	0,385	0,094	8,33E-15	0,0092	0,002	2,00E-16	0,2	0
6,85	0,39	0,094	0,157	0,0093	0,002	0,004	0,2	0
6,9	0,394	0,11	0,157	0,0094	0,003	0,004	0,2	0
6,95	0,401	0,11	0,314	0,0096	0,003	0,007	0,2	0
7	0,405	0,141	0,157	0,0097	0,003	0,004	0,2	0
7,05	0,415	0,126	-0,785	0,0099	0,003	-0,019	0,2	0
7,1	0,418	0,063	-0,314	0,01	0,002	-0,007	0,2	0
7,15	0,421	0,094	0,471	0,0101	0,002	0,011	0,2	0
7,2	0,427	0,11	-8,33E-15	0,0102	0,003	-3,73E-16	0,2	0
7,25	0,432	0,094	-0,157	0,0103	0,002	-0,004	0,2	0
7,3	0,437	0,094	-0,157	0,0104	0,002	-0,004	0,2	0
7,35	0,441	0,079	0,314	0,0105	0,002	0,008	0,2	0
7,4	0,445	0,126	0,628	0,0106	0,003	0,015	0,2	0
7,45	0,454	0,141	-0,471	0,0108	0,003	-0,011	0,2	0
7,5	0,459	0,079	-0,314	0,011	0,002	-0,008	0,2	0
7,55	0,462	0,11	0,314	0,011	0,003	0,008	0,2	0
7,6	0,47	0,11	-0,157	0,0112	0,003	-0,004	0,2	0
7,65	0,473	0,094	0	0,0113	0,002	0	0,2	0
7,7	0,479	0,11	0	0,0114	0,003	-1,74E-16	0,2	0
7,75	0,484	0,094	0,471	0,0116	0,002	0,011	0,2	0
7,8	0,489	0,157	0,314	0,0117	0,004	0,007	0,2	0
7,85	0,5	0,126	-1,1	0,0119	0,003	-0,026	0,2	0
7,9	0,501	0,047	-0,314	0,012	0,001	-0,007	0,2	0
7,95	0,504	0,094	0,471	0,012	0,002	0,011	0,2	0
8	0,511	0,094	-0,157	0,0122	0,002	-0,004	0,2	0
8,05	0,514	0,079	0,157	0,0123	0,002	0,004	0,2	0
8,1	0,518	0,11	0,157	0,0124	0,003	0,004	0,2	0
8,15	0,525	0,094	-0,157	0,0125	0,002	-0,004	0,2	0
8,2	0,528	0,094	0,314	0,0126	0,002	0,008	0,2	0
8,25	0,534	0,126	0	0,0128	0,003	0	0,2	0
8,3	0,54	0,094	-0,314	0,0129	0,002	-0,007	0,2	0
8,35	0,543	0,094	0,157	0,013	0,002	0,004	0,2	0
8,4	0,55	0,11	-0,157	0,0131	0,003	-0,004	0,2	0
8,45	0,554	0,079	-0,314	0,0132	0,002	-0,007	0,2	0
8,5	0,558	0,079	0,157	0,0133	0,002	0,004	0,2	0
8,55	0,562	0,094	0	0,0134	0,002	0	0,2	0
8,6	0,567	0,079	0,157	0,0135	0,002	0,004	0,2	0
8,65	0,57	0,11	0,471	0,0136	0,003	0,011	0,2	0
8,7	0,578	0,126	1,96E-14	0,0138	0,003	4,68E-16	0,2	0
8,75	0,583	0,11	-0,157	0,0139	0,003	-0,004	0,2	0
8,8	0,589	0,11	-0,157	0,0141	0,003	-0,004	0,2	0
8,85	0,594	0,094	0,157	0,0142	0,002	0,004	0,2	0
8,9	0,598	0,126	0,314	0,0143	0,003	0,008	0,2	0
8,95	0,606	0,126	-0,157	0,0145	0,003	-0,004	0,2	0
9	0,611	0,11	-0,157	0,0146	0,003	-0,004	0,2	0
9,05	0,617	0,11	-0,314	0,0147	0,003	-0,007	0,2	0
9,1	0,622	0,079	-0,157	0,0149	0,002	-0,004	0,2	0
9,15	0,625	0,094	0,314	0,0149	0,002	0,008	0,2	0
9,2	0,631	0,11	1,68E-14	0,0151	0,003	2,26E-16	0,2	0
9,25	0,636	0,094	-0,157	0,0152	0,002	-0,004	0,2	0
9,3	0,641	0,094	-0,157	0,0153	0,002	-0,004	0,2	0
9,35	0,646	0,079	0,157	0,0154	0,002	0,004	0,2	0
9,4	0,649	0,11	0,628	0,0155	0,003	0,015	0,3	0
9,45	0,657	0,141	-0,314	0,0157	0,003	-0,007	0,3	0
9,5	0,663	0,079	-0,785	0,0158	0,002	-0,019	0,3	0
9,55	0,664	0,063	0,157	0,0159	0,001	0,004	0,3	0
9,6	0,669	0,094	0,314	0,016	0,002	0,008	0,3	0
9,65	0,674	0,094	0	0,0161	0,002	0	0,3	0
9,7	0,679	0,094	0,157	0,0162	0,002	0,004	0,3	0
9,75	0,683	0,11	0,157	0,0163	0,003	0,004	0,3	0
9,8	0,69	0,11	-0,157	0,0165	0,003	-0,004	0,3	0
9,85	0,694	0,094	-0,157	0,0166	0,002	-0,004	0,3	0
9,9	0,699	0,094	-0,157	0,0167	0,002	-0,004	0,3	0
9,95	0,704	0,079	-0,157	0,0168	0,002	-0,004	0,3	0
