Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,3	0
0,05	0			0			0,3	0
0,1	0	0		0	0		0,3	0
0,15	0	0	0	0	0	0	0,3	0
0,2	0	0	0	0	0	0	0,3	0
0,25	0	0	-0,157	0	0	-0,004	0,3	0
0,3	0	-0,016	-0,471	0	-3,75E-04	-0,011	0,3	0
0,35	-0,002	-0,047	-0,785	-3,75E-05	-0,001	-0,019	0,3	0
0,4	-0,005	-0,094	-0,785	-1,13E-04	-0,002	-0,019	0,3	0
0,45	-0,011	-0,126	0,314	-2,63E-04	-0,003	0,008	0,3	0
0,5	-0,017	-0,063	1,257	-4,13E-04	-0,001	0,03	0,3	0
0,55	-0,017	0	0,628	-4,13E-04	0	0,015	0,3	0
0,6	-0,017	0	2,199	-4,13E-04	0	0,052	0,3	0
0,65	-0,017	0,22	1,728	-4,13E-04	0,005	0,041	0,3	0
0,7	0,005	0,173	-2,513	1,13E-04	0,004	-0,06	0,3	0
0,75	2,60E-18	-0,031	-2,042	9,49E-20	-7,50E-04	-0,049	0,3	0
0,8	0,002	-0,031	-0,157	3,75E-05	-7,50E-04	-0,004	0,3	0
0,85	-0,003	-0,047	0,785	-7,50E-05	-0,001	0,019	0,3	0
0,9	-0,003	0,047	1,728	-7,50E-05	0,001	0,041	0,3	0
0,95	0,002	0,126	0,157	3,75E-05	0,003	0,004	0,3	0
1	0,009	0,063	-1,1	2,25E-04	0,002	-0,026	0,3	0
1,05	0,008	0,016	-0,157	1,88E-04	3,75E-04	-0,004	0,3	0
1,1	0,011	0,047	0,942	2,63E-04	0,001	0,022	0,3	0
1,15	0,013	0,11	0,471	3,00E-04	0,003	0,011	0,3	0
1,2	0,022	0,094	-0,157	5,25E-04	0,002	-0,004	0,3	0
1,25	0,022	0,094	0,628	5,25E-04	0,002	0,015	0,3	0
1,3	0,031	0,157	0,157	7,50E-04	0,004	0,004	0,3	0
1,35	0,038	0,11	-0,471	9,00E-04	0,003	-0,011	0,3	0
1,4	0,042	0,11	-0,157	0,001	0,003	-0,004	0,3	0
1,45	0,049	0,094	-0,314	0,0012	0,002	-0,007	0,3	0
1,5	0,052	0,079	0,314	0,0012	0,002	0,007	0,3	0
1,55	0,057	0,126	0,471	0,0013	0,003	0,011	0,3	0
1,6	0,064	0,126	-0,157	0,0015	0,003	-0,004	0,3	0
1,65	0,069	0,11	0,314	0,0016	0,003	0,008	0,3	0
1,7	0,075	0,157	0,314	0,0018	0,004	0,008	0,3	0
1,75	0,085	0,141	-0,314	0,002	0,003	-0,007	0,3	0
1,8	0,09	0,126	-0,785	0,0021	0,003	-0,019	0,3	0
1,85	0,097	0,063	-1,1	0,0023	0,001	-0,026	0,3	0
1,9	0,096	0,016	0,785	0,0023	3,75E-04	0,019	0,3	0
1,95	0,099	0,141	2,513	0,0024	0,003	0,06	0,3	0
2	0,11	0,267	0,628	0,0026	0,006	0,015	0,3	0
2,05	0,126	0,204	-1,257	0,003	0,005	-0,03	0,3	0
2,1	0,13	0,141	-1,571	0,0031	0,003	-0,037	0,3	0
2,15	0,14	0,047	-1,414	0,0033	0,001	-0,034	0,3	0
2,2	0,135	0	1,414	0,0032	0	0,034	0,3	0
2,25	0,14	0,188	3,142	0,0033	0,005	0,075	0,3	0
2,3	0,154	0,314	-0,628	0,0037	0,007	-0,015	0,3	0
2,35	0,171	0,126	-2,67	0,0041	0,003	-0,064	0,3	0
2,4	0,167	0,047	-0,157	0,004	0,001	-0,004	0,3	0
2,45	0,176	0,11	0,314	0,0042	0,003	0,008	0,3	0
2,5	0,178	0,079	0,628	0,0042	0,002	0,015	0,3	0
2,55	0,184	0,173	1,728	0,0044	0,004	0,041	0,3	0
2,6	0,195	0,251	-0,471	0,0047	0,006	-0,011	0,3	0
2,65	0,209	0,126	-1,414	0,005	0,003	-0,034	0,3	0
2,7	0,207	0,11	-0,157	0,005	0,003	-0,004	0,3	0
2,75	0,22	0,11	-0,785	0,0052	0,003	-0,019	0,3	0
2,8	0,218	0,031	0,628	0,0052	7,50E-04	0,015	0,3	0
2,85	0,223	0,173	2,042	0,0053	0,004	0,049	0,3	0
2,9	0,236	0,236	-0,314	0,0056	0,006	-0,007	0,3	0
2,95	0,247	0,141	-1,571	0,0059	0,003	-0,037	0,3	0
3	0,25	0,079	-0,471	0,006	0,002	-0,011	0,3	0
3,05	0,254	0,094	0,157	0,0061	0,002	0,004	0,3	0
3,1	0,259	0,094	0,785	0,0062	0,002	0,019	0,3	0
3,15	0,264	0,173	0,785	0,0063	0,004	0,019	0,3	0
3,2	0,276	0,173	-1,1	0,0066	0,004	-0,026	0,3	0
3,25	0,281	0,063	-0,471	0,0067	0,002	-0,011	0,3	0
3,3	0,283	0,126	0,942	0,0067	0,003	0,022	0,3	0
3,35	0,294	0,157	-0,157	0,007	0,004	-0,004	0,3	0
3,4	0,298	0,11	-0,471	0,0071	0,003	-0,011	0,3	0
3,45	0,305	0,11	0,157	0,0073	0,003	0,004	0,3	0
3,5	0,309	0,126	0,785	0,0074	0,003	0,019	0,3	0
3,55	0,317	0,188	0,314	0,0076	0,005	0,007	0,3	0
3,6	0,328	0,157	-1,1	0,0078	0,004	-0,026	0,3	0
3,65	0,333	0,079	-1,1	0,0079	0,002	-0,026	0,3	0
3,7	0,336	0,047	0	0,008	0,001	0	0,3	0
3,75	0,338	0,079	1,414	0,0081	0,002	0,034	0,3	0
3,8	0,344	0,188	2,67	0,0082	0,005	0,064	0,3	0
3,85	0,357	0,346	-0,785	0,0085	0,008	-0,019	0,3	0
